"","convergence","mu","x_C","x_W","C","AA","NT","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",-1,3.56186956878601e-05,0.1,0.001,69.0800889852497,1.3414770575319,0.079119081632939,3.95566707223685,68.6392072589029,14.2912376784294,5.55150483108652,0.000893088907361062,4.71571086891329,6.35782035294312,125.545393124869,-0.0319848351588108,0.0136734054472532,2172.11518767173,0.0864492561441589,0.0266217794368657,0.0264160172615563,9.26802852718613,13.9020427907792,9.26802852718613,12.948900839834,0.739020783577515,0.0179434962762594,0.0108820240605129,0.00106077282375794,0.0576371057822506,0.00514320818451321,0.00372023717354126,0.0135824390867268,0.000509035245870858,0.000197737361188156,0.000224105318331744,0.000167967470391757,0.447414691344735,0.447176315272746,-0.000348059745769719,1.450437690667e-05,125.194432843069,0.000444626521745717,9.90393334868443e-05,0.000358793945369011,0.00471775318007432,0.0027489532565735,0.00207701448339273,0.00217499411842061,0.330648755781678,0.0080239065479279,1.0183812976455,0.099271164882425,5.39390009180816,0.481321029606199,0.348153977538752,1.27109643072042,0.0476374589280981,0.0185050161036217,0.0209726300569475,0.015719036229711,41.8707725165455,41.8484643749562
"2",-1,4.93372346794793e-06,0.0930232558139535,0.001,51.9753466460458,3.20584562347352,0.142187903007818,7.10933894519132,76.2180296841977,15.1174199350686,6.58451384960988,0.00414971359887772,3.13179794790612,6.70699130683232,129.702873393421,-0.0319530321186247,0.00806765179920906,15206.5153641655,0.08877851480526,0.0129960590593825,0.0215293005424498,6.90315249554116,10.3547287433117,6.90315249554116,9.5964818465734,0.0676765055472548,0.0129851294826779,0.00147987655068922,1.3015408013114e-06,0.00852900277814076,0.000751614379913437,0.000572043074128855,0.00208910378740932,7.45851695084718e-05,3.24861705048485e-05,3.27625935238481e-05,1.54514250324556e-05,0.0640266430746769,0.0639918110321402,-4.72865429557722e-05,1.05003779874439e-08,129.696411786808,6.67272083549914e-05,7.43430557588932e-06,4.49769433035055e-05,0.000514872799022768,0.000336385483486681,0.000226165179244553,0.00014827931982765,0.00433309946521548,0.000830941952083396,0.999837519811882,0.000879349920174825,5.76238401790565,0.507807395905831,0.386485026873481,1.41144499415181,0.050391399783562,0.0219483794986996,0.0221351370397978,0.0104393264930204,43.2578244339715,43.2342911311405
"3",-1,-6.60455476463534e-07,0.0865332612222823,0.001,54.7840990963454,0.499508809642391,0.0926238095263709,0.575091083147994,70.9289573356534,10.4375339276496,11.1856086085167,-3.81825771000877e-07,0.5712393123484,4.3867541738777,146.53896490727,-0.0320973166677888,0.0118201641431683,0.0992449402817342,0.0867058564073599,0.20572586822007,0.110111395209877,44.1991036045161,66.2986554067742,44.1991036045161,61.6860944943598,-15136.4864681809,0.0756459809022295,-0.000198197601234737,-3.03534360322868e-07,-0.00121734573474026,-0.000106125940213014,-5.37908836297933e-05,-0.000260252323956559,-6.89352644329012e-06,-7.38759646307248e-06,-2.86675813619359e-06,-3.77278132211764e-07,-0.0096812959317968,-0.00967824618883045,6.36161116962747e-06,-3.58782596210788e-09,-0.000120815404746521,-9.20174053320562e-06,-1.1066176237064e-05,-2.86567464974696e-05,-0.000304687689467451,-0.000489787712189546,-0.00012670813987071,-2.32728145142704e-05,146.540804866098,-0.000732120426367343,1.00030765786062,0.00153194460055641,6.1439707299102,0.535619957211317,0.271483774186774,1.31349920991951,0.034791779758832,0.0372853620283888,0.014468591441086,0.00190413104116133,48.8617137556652,48.8463216357568
"4",-1,-6.60455476864352e-07,0.0804960569509603,0.001,54.7840990963454,0.499508809642391,0.0926238095263709,0.575091083147994,70.9289573356534,10.4375339276496,11.1856086085167,-3.81825771000877e-07,0.5712393123484,4.3867541738777,146.53896490727,-0.0316486153018574,0.0118201641431683,0.0992449402817342,0.0867058564073599,0.20572586822007,0.110111395209877,44.1991036045161,66.2986554067742,44.1991036045161,61.6860944943598,-15136.4864681809,0.0756459809022295,-0.000198197601355019,-3.03534360507076e-07,-0.00121734573547904,-0.000106125940277419,-5.37908836624379e-05,-0.000260252324114501,-6.89352644747366e-06,-7.38759646755586e-06,-2.86675813793337e-06,-3.77278132440726e-07,-0.00968129593767218,-0.00967824619470398,6.27267963903589e-06,-3.58782596428526e-09,-0.000120815404819841,-9.20174053878997e-06,-1.10661762437798e-05,-2.86567465148608e-05,-0.00030468768965236,-0.000489787712486788,-0.000126708139947607,-2.32728145283942e-05,146.54080495503,-0.000732120426811652,1.00030765786062,0.00153194460055641,6.1439707299102,0.535619957211317,0.271483774186774,1.31349920991951,0.034791779758832,0.0372853620283888,0.014468591441086,0.00190413104116133,48.8617137556652,48.8463216357568
"5",4,4.96944877489787e-12,0.0748800529776375,0.001,43.4868325863261,0.31007250000325,16.8716316007558,9.46238677991893,72.1375899634782,8.44955158012643,0.189827618206188,0.0144963327805669,2.00713915040702e-13,0.359075694234434,148.718535340731,-0.0325186080409125,0.00106196495619988,0.00789819533247029,0.0874243650886374,0.0724598317780435,0.0199663155647505,3287157872561.03,4930736808841.54,3287157872561.03,3377011856610.98,0.601057005238825,4.96555045203892,1.49083634263117e-09,8.55089448825078e-15,9.42091602626434e-09,8.28426901683839e-10,5.25856801078032e-10,1.99157810037829e-09,4.19896137482956e-11,9.43338624736522e-13,1.83766380704663e-12,9.97437519203972e-25,7.39067926498537e-08,7.39049143253602e-08,-4.84799226791705e-11,9.08075029068503e-18,7.44082349862356e-11,7.24246959020566e-11,3.81034953454543e-11,3.97644768239992e-11,138.026489398507,4.65135448019033,6.04069105045379,3.36835832858046e-12,4.44221954569279e-08,3.6697858073619e-07,1.00000114711704,5.73564250656521e-06,6.31922268310866,0.555679941719401,0.352726445727266,1.33588129561997,0.0281651719337548,0.000632758727353961,0.00123264094288096,6.69046383469008e-16,49.5741050282937,49.5728451135771
"6",4,5.8467293935667e-12,0.0696558632350116,0.001,43.4868325744003,0.310072500002384,16.8716315991277,9.46238678173827,72.137589963479,8.44955158007158,0.189827618126495,0.0144963327251446,2.36146904916219e-13,0.359075694234434,148.718535340731,-0.0320160131511519,0.00106196495620643,0.00789819533275311,0.0874243650897588,0.0724598317757498,0.0199663155641906,2793931710453.17,4190897565679.76,2793931710453.17,2870303428863.06,0.601057007388371,4.96555045286417,1.75402083006784e-09,1.00604382743134e-14,1.10840355017474e-08,9.74673074599876e-10,6.18688823436604e-10,2.34316093122519e-09,4.94022415856625e-11,1.10987071461093e-12,2.16207540941612e-12,1.38068705017346e-24,8.69539131086062e-08,8.69517031944841e-08,-5.61567539628464e-11,1.06838328913987e-17,8.75438774679712e-11,8.52101747169773e-11,4.48300880677529e-11,4.67842905705249e-11,138.026489333651,4.65135447608221,6.04069104675873,3.9629907742997e-12,5.22642587937673e-08,4.31763069174682e-07,1.00000114707882,5.73565013708529e-06,6.31922268310864,0.555679941719401,0.352726445727283,1.33588129561998,0.0281651719335719,0.000632758727088316,0.00123264094269816,7.8715634972073e-16,49.5741050282937,49.5728451135771
"7",4,9.7521110702565e-12,0.0647961518465225,0.001,43.4868325914888,0.310072500001368,16.8716316020004,9.46238677909133,72.1375899634799,8.44955158000678,0.189827618032333,0.0144963326611958,3.93883604915829e-13,0.359075694234434,148.718535340731,-0.031561222498231,0.00106196495619514,0.00789819533230442,0.08742436508815,0.0724598317798273,0.0199663155650169,1675059123342.46,2512588685013.69,1675059123342.46,1720846621709.49,0.601057010256553,4.96555045702012,2.9256366771692e-09,1.67803770620879e-14,1.84877284450079e-08,1.62571575334838e-09,1.03194824284484e-09,3.90829883146931e-09,8.24009655020874e-11,1.85122001525353e-12,3.6062554142495e-12,3.8411966638922e-24,1.45035653533344e-07,1.45031967484868e-07,-9.23366701171224e-11,1.78201723916781e-17,1.46019690509273e-10,1.42127167550285e-10,7.47747960820254e-11,7.80343277915031e-11,138.026489036499,4.65135446379691,6.04069103274178,6.61011030238064e-12,8.71746962933573e-08,7.20163552427012e-07,1.00000114713359,5.73563916612453e-06,6.31922268310862,0.555679941719401,0.352726445727303,1.33588129562,0.0281651719333559,0.000632758726774443,0.00123264094248216,1.31294534971943e-15,49.5741050282937,49.5728451135771
"8",4,9.77394181822765e-12,0.0602754900897883,0.001,43.4868325952881,0.310072500001352,16.8716316007139,9.46238678038229,72.1375899634799,8.44955158000558,0.189827618030587,0.0144963326590641,3.94765339521589e-13,0.359075694234434,148.718535340731,-0.0311487555190767,0.00106196495619949,0.0078981953325148,0.0874243650877925,0.0724598317754879,0.0199663155640733,1671317767559.07,2506976651338.6,1671317767559.07,1717002996517.25,0.601057010239361,4.96555045620858,2.93218590911367e-09,1.68179568222307e-14,1.85291144523384e-08,1.62935502597647e-09,1.03425832748667e-09,3.91704781783453e-09,8.25854255330881e-11,1.8553640941237e-12,3.61432825636403e-12,3.8584134603369e-24,1.45360325471175e-07,1.45356631171234e-07,-9.13339420194635e-11,1.78600807800851e-17,1.46346565283092e-10,1.42445328648596e-10,7.49421844220815e-11,7.82090128104488e-11,138.026489034876,4.65135446370011,6.04069103265199,6.62490747320094e-12,8.73698426351247e-08,7.21775686225263e-07,1.00000114714733,5.73564454512661e-06,6.31922268310862,0.555679941719401,0.352726445727303,1.33588129562,0.0281651719333519,0.000632758726768623,0.00123264094247815,1.31588446507196e-15,49.5741050282937,49.5728451135771
"9",4,9.77393250029769e-12,0.056070223339338,0.001,43.4868325892002,0.310072500001352,16.8716315997776,9.46238678131861,72.1375899634799,8.44955158000548,0.189827618030439,0.0144963326590641,3.94764963178555e-13,0.359075694234434,148.718535340731,-0.0307739039294852,0.0010619649562032,0.00789819533266762,0.0874243650883653,0.0724598317741629,0.0199663155637829,1671319360901.63,2506979041352.44,1671319360901.63,1717004633420.33,0.601057010162864,4.96555045559133,2.93218311367426e-09,1.68179522315992e-14,1.85290967877161e-08,1.62935347264043e-09,1.03425734148257e-09,3.91704408354002e-09,8.25853468007572e-11,1.85536232532181e-12,3.61432481066445e-12,3.8584061035897e-24,1.45360186892763e-07,1.45356492596344e-07,-9.02347214438706e-11,1.78600759050577e-17,1.46346425767286e-10,1.42445192850113e-10,7.49421129750203e-11,7.82089382492089e-11,138.026489034881,4.65135446369669,6.0406910326506,6.62490115748081e-12,8.73697593304793e-08,7.21774998034935e-07,1.00000114712782,5.73564844757111e-06,6.31922268310862,0.555679941719401,0.352726445727304,1.33588129562,0.0281651719333516,0.000632758726768131,0.00123264094247782,1.31588321059518e-15,49.5741050282937,49.5728451135771
"10",4,9.77393156826321e-12,0.0521583472924074,0.001,43.4868325898191,0.310072500001352,16.871631599873,9.46238678122375,72.1375899634799,8.44955158000547,0.189827618030424,0.0144963326590641,3.94764925533653e-13,0.359075694234434,148.718535340731,-0.0304326005608322,0.00106196495620282,0.0078981953326521,0.0874243650883071,0.0724598317742969,0.0199663155638122,1671319520277.33,2506979280416,1671319520277.33,1717004797151.87,0.601057010170628,4.96555045565472,2.93218283406941e-09,1.6817949464478e-14,1.85290950207961e-08,1.62935331726657e-09,1.03425724285661e-09,3.91704371001379e-09,8.25853389254837e-11,1.85536214839578e-12,3.61432446600519e-12,3.85840536771644e-24,1.45360173031331e-07,1.45356478735264e-07,-8.92339489605634e-11,1.78600729664656e-17,1.46346411811519e-10,1.42445179266557e-10,7.49421058287382e-11,7.82089307913812e-11,138.02648903488,4.65135446369633,6.04069103265043,6.62490052572564e-12,8.73697510000968e-08,7.21774929216257e-07,1.0000011471298,5.73564805081008e-06,6.31922268310862,0.555679941719401,0.352726445727304,1.33588129562,0.0281651719333516,0.000632758726768082,0.00123264094247778,1.31588308511218e-15,49.5741050282937,49.5728451135771
