"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","CI1","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau CCM","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v CCM","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p CCM","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f CCM","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,1.12653003853235,0.1,0.001,0.001,1.67061253664401,6.9041315370531,10.7349270314936,1.75176242831903,18.4275634931755,3.32170703504651,19.4759917890896,48.4395416537679,14.4269705656945,1.94259431367314,11.0059799967965,12.8583681346122,149.039849632163,0.0221905691368788,0.0331417035174601,0.0018854532080907,0.0538740460055255,0.0907967028187022,0.104445591610436,0.0131309000640545,0.0423990860170025,0.158022592469072,0.237033888703608,0.158022592469072,0.168254346584469,0.000219473261724494,0.00366491522831941,855.153517060642,147.237987620514,2585.9725266737,4.64665792292951e-16,22.7326168078981,243.111390171423,402.894214457466,121.890498781216,54.5685987257086,16.2524157072769,16.5212515556022,12.3985670698775,16805.0344790557,16789.7867548977,18.9763432429792,4.87971773222656,4.87573019645134,2.50334262711844e-17,2.06404665259816,25.3919129736898,5.29036366642672,5.16804574248013,8.62307143804095,3.85237329592344,2.61073100164994,2.08611280092595,3.68825573051095,61.5331451582599,2.53034684032849,0.435668180413359,7.65173419918365,1.37491759769471e-18,0.0672644197383151,0.719351701999145,1.19213928516976,0.360666514612771,0.161465138845893,0.0480899018856482,0.0488853706825434,0.0366865999893217,49.7250669585618,49.6799498773877
"2",4,1.11720167485297,0.0930232558139535,0.001,0.001,1.60936048469259,6.88646992836873,10.6591676361827,1.75339604959035,18.4067757416617,3.25283905673837,19.6907749403923,48.2809736469524,14.393570211583,1.9366520156872,10.9459824242844,12.8246210409209,149.359418429133,0.0228438279972193,0.0340003463383532,0.00192554388093641,0.055019656545364,0.0909480803881168,0.105192427101129,0.0133551363686342,0.0431073339702723,0.158692770945002,0.238039156417503,0.158692770945002,0.169072279083001,0.000219998886794546,0.00367437707701518,849.016764906448,146.242360476784,2569.28130328062,1.83221546829444e-15,22.5229776905105,241.219432984019,398.266150015503,122.214259680884,53.9395846219072,16.0805207474943,16.3405012122627,12.2288698973217,16701.5410193632,16686.4592424092,19.3947929442785,4.97229090554895,4.94726389193633,1.00807865782663e-16,2.04842158557631,25.374457619547,5.31889874446795,5.26833090799345,8.55982214727286,3.82779359348769,2.59311941600413,2.06756290414968,3.67432043201335,61.3123433368565,2.53316473356876,0.436335306234453,7.66582364107406,5.46668075405328e-18,0.0672005726375073,0.719713185821368,1.18828485784335,0.364643980377636,0.160936578823175,0.0479785673719433,0.0487542568188304,0.036486608080948,49.8314714800299,49.7864728097109
"3",4,1.10757630959936,0.0865332612222823,0.001,0.001,1.54985184052273,6.86839713667624,10.5820054810841,1.75477753073476,18.3863364511115,3.18371199304852,19.9104136247699,48.1176110621859,14.3590778277863,1.93052710079513,10.884669205438,12.7898089707919,149.682810743367,0.023529910920323,0.0348982727903491,0.00196767703078295,0.0562236332865544,0.0911024144157967,0.105978382842433,0.0135899465711662,0.0438511077515003,0.159386730791802,0.239080096187703,0.159386730791802,0.169919505865692,0.000220540740803544,0.00368417455014977,842.649691475307,145.208338359529,2551.88399869087,1.27000382368757e-15,22.3078206952331,239.259663868644,393.521809948084,122.512791361775,53.2939260869931,15.9037744297495,16.1547829820164,12.0556017497688,16593.4247653811,16578.5135133597,19.8274721774516,5.06752020350417,5.02128352944657,7.14042292555319e-17,2.03229632569041,25.3563522562229,5.3479403717831,5.37232161494226,8.49434465006574,3.80227592041203,2.57485804615462,2.04848189223429,3.65952619022503,61.0781375652339,2.53601695934949,0.437015301191167,7.68008481394226,3.82217102538957e-18,0.0671370466061537,0.720069764930212,1.1843331742696,0.368711363421665,0.160392036873953,0.0478635927592876,0.0486190216782445,0.0362822306847934,49.9391467704934,49.8942702477889
"4",4,1.09764773327159,0.0804960569509603,0.001,0.001,1.49193869253603,6.84973690145403,10.502452079092,1.75595064427867,18.3651831406296,3.11409979044022,20.1320748336684,47.947812797883,14.3231261647236,1.92418381538459,10.8211673316695,12.7536615671552,150.018613619287,0.0242519842060996,0.0358381257608303,0.00201199418942477,0.0574900207434114,0.0912620505793057,0.106808069165792,0.0138366593446851,0.0446351813036951,0.160114961235768,0.240172441853652,0.160114961235768,0.170808796281184,0.000221104995054377,0.00369443617446926,836.063403395389,144.134644644486,2533.84540950567,1.04773838318519e-15,22.0859168898585,237.237067522196,388.643832123528,122.766257262389,52.6298080329266,15.7217469680718,15.9637455270331,11.8778297929596,16481.4949374179,16466.7591187757,20.2761964544428,5.16551552126167,5.09808224082602,6.02345013829851e-17,2.01560606429261,25.3388331166004,5.37753231150623,5.47969415088282,8.42681967303796,3.77593035952705,2.55603449623858,2.0288378093682,3.64414085662652,60.8353905646764,2.53895482753065,0.437707655123217,7.6947741146832,3.18176876917929e-18,0.0670704459496932,0.720440812752377,1.18023241987712,0.372816200623489,0.15982604265961,0.0477437538824119,0.0484786543780383,0.0360705577722316,50.0509542294717,50.0062045397624
"5",4,1.08740981862339,0.0748800529776375,0.001,0.001,1.43561247679943,6.82743553271242,10.4207682388045,1.75673642230185,18.3447865784392,3.04392257583806,20.3575775934715,47.7727761156804,14.2859669744587,1.91776165935096,10.7560098782087,12.7162837534534,150.364363099545,0.0250106468744443,0.0368201987987762,0.00205879556462781,0.0588273979164715,0.0914253606453069,0.107683981213561,0.0140979238672461,0.0454619255643824,0.160874296733855,0.241311445100782,0.160874296733855,0.17173665992306,0.000221730434546166,0.00370506721423908,829.249656180782,143.020092944777,2515.13354808056,5.36918032102055e-15,21.8585934802896,235.146143780305,383.644806148082,122.983498658492,51.9485858110879,15.5347007565559,15.767648754277,11.6961907507743,16365.3240719286,16350.7684805498,20.7400703214918,5.26602825444614,5.17814579323487,3.15854907229964e-16,1.99842979213463,25.3214729292798,5.40859526914004,5.59106666165967,8.35719220867706,3.74870108877271,2.53660940449076,2.00866473336097,3.62869041795755,60.5806962248986,2.54197219232571,0.438412119317424,7.70986094664414,1.64586225268705e-17,0.0670050766691364,0.720814237506117,1.17602029942357,0.37699217765688,0.159242587052268,0.0476198899148623,0.048333965981161,0.0358533662606957,50.1660729060007,50.1214543665149
"6",-1,1.07654469482449,0.0696558632350116,0.001,0.001,1.43561247679943,6.82743553271242,10.4207682388045,1.75673642230185,18.3447865784392,3.04392257583806,20.3575775934715,47.7727761156804,14.2859669744587,1.91776165935096,10.7560098782087,12.7162837534534,150.364363099545,0.0268406938295838,0.0368201987987762,0.00205879556462781,0.0588273979164715,0.0914253606453069,0.107683981213561,0.0140979238672461,0.0454619255643824,0.160874296733855,0.241311445100782,0.160874296733855,0.17173665992306,0.000221730434546166,0.00370506721423908,820.964003411884,141.59107235938,2490.00296998327,5.31553282962638e-15,21.64018794434,232.79662300235,379.811524305104,121.754678654053,51.4295286843737,15.3794819567913,15.6101023970538,11.5793253718654,16201.80589414,16187.3957385478,22.0352434606878,5.21341143240427,5.12640707051164,3.12698964906499e-16,1.97846198724351,25.0684671779656,5.35455395355604,5.53520213808588,8.27368925845221,3.71124501589471,2.51126424506949,1.9885946635265,3.5924334613403,59.9753892348067,2.54197219232571,0.438412119317424,7.70986094664414,1.64586225268705e-17,0.0670050766691364,0.720814237506117,1.17602029942357,0.37699217765688,0.159242587052268,0.0476198899148623,0.048333965981161,0.0358533662606957,50.1660729060007,50.1214543665149
"7",4,1.0659823286955,0.0647961518465225,0.001,0.001,1.32763004989777,6.78101339432211,10.2499859325596,1.75750741491707,18.3017973170486,2.90285524040087,20.8151815511889,47.4012744973399,14.2068847817209,1.90416263832276,10.6187044107869,12.6371285649739,151.095875663042,0.0266513432860695,0.0389286668242037,0.0021600265711453,0.0617201404141027,0.0917686092825052,0.109587415535218,0.01466147673164,0.0472520799401573,0.162509155222393,0.24376373283359,0.162509155222393,0.173735137711753,0.00022305852690816,0.0037279106436424,814.927225544067,140.666066910306,2475.66262691394,1.25616698790364e-15,21.3828643701938,230.766117638244,373.235594368943,123.2700872342,50.5289209718092,15.1442881231276,15.3589599250705,11.3193512555399,16120.7332929636,16106.5533395575,21.7189052411391,5.47594245222246,5.34749705532549,7.75308028769734e-17,1.96227572572912,25.2890624250711,5.47218498226007,5.82476801622058,8.21141226142777,3.69162820400097,2.4959716025178,1.96656904918892,3.59586702100779,60.0437916269305,2.54828247337938,0.439863661037254,7.74141234262154,3.92804193868417e-18,0.0668643491065532,0.721607076797243,1.16711001149425,0.385466325022016,0.158004248324466,0.0473562826057364,0.0480275626578353,0.0353956813692898,50.4096326896629,50.3652918876806
"8",4,1.05478144600773,0.0602754900897883,0.001,0.001,1.27590269311015,6.7543622213084,10.1608008297694,1.75739433835629,18.2801435027924,2.83190280888931,21.0477287347303,47.2052675883046,14.1650311932624,1.8971162485812,10.5467424735299,12.5952700332654,151.48233758025,0.0275375560518876,0.0400591204893214,0.00221491409333086,0.0632885910938576,0.0919484958012481,0.110622395734201,0.0149674522102012,0.0482223680705668,0.163387157395226,0.24508073609284,0.163387157395226,0.174809188531349,0.000223794840707436,0.00374010239069351,807.409734349851,139.424248070911,2454.8765014395,9.62576342935939e-16,21.1352231385213,228.472911562399,367.831926480456,123.337520833318,49.7912404059737,14.9410120847739,15.1464553464816,11.124508276901,15992.0603889512,15978.0759077527,22.2340908164987,5.58521275260564,5.43734056042511,6.09201005646935e-17,1.94335197601077,25.2742208374009,5.50550678098246,5.94762732653546,8.13524923311439,3.6617542397084,2.47473628367537,1.94466626469534,3.57894060732902,59.7596399012682,2.55158619954189,0.440610228146065,7.75793099360702,3.04194562952423e-18,0.0667917928038287,0.722022912667999,1.16242699019995,0.389772754346857,0.157350891961015,0.0472167706442079,0.0478660149734015,0.0351558082450997,50.5383064566912,50.4941125267499
"9",4,1.04324871437128,0.056070223339338,0.001,0.001,1.22567043546059,6.72654180054116,10.0689181242634,1.75693572598008,18.2576283021447,2.76091195243696,21.2824611902103,47.001239189148,14.1214537105229,1.88978059528679,10.4722549503222,12.5517217134053,151.884482465883,0.0284718599811706,0.0412457629601805,0.00227284953555252,0.0649441410775598,0.0921345138498554,0.111717682156429,0.0152900232194741,0.0492461939680207,0.16431088735921,0.246466331038815,0.16431088735921,0.175939580911168,0.000224569740343032,0.00375291061320796,799.64950967754,138.138543608112,2433.37447601911,4.27604918869531e-15,20.8801681910428,226.110650975792,362.287821986065,123.349445974132,49.0339823579359,14.7321884285567,14.9282411640708,10.9251665134919,15859.112861854,15845.329106548,22.7675088735506,5.69762962532474,5.5306940476454,2.77704341765213e-16,1.92378414538494,25.2605578378968,5.53938921029964,6.07449074228998,8.05681715198828,3.63098843015884,2.45287255238075,1.9221692177685,3.56147685745739,59.4661037737371,2.55499798741489,0.441372997334137,7.77498993448105,1.36626071034661e-17,0.0667152134270821,0.72245684038396,1.1575629633195,0.394119651670562,0.15667079729716,0.0470715123684097,0.0476979297407754,0.0349075165010739,50.67220195078,50.628160821961
"10",4,1.03137922581293,0.0521583472924074,0.001,0.001,1.17687349001127,6.69679119777213,9.97474857402091,1.75613913069501,18.2352350060873,2.68979127257643,21.5191609276209,46.7904674850805,14.0762052773473,1.88227955246205,10.3956118935836,12.5066897970207,152.300007331605,0.0294567351770243,0.0424912663480168,0.00233411548954095,0.0666948662258073,0.0923261747059696,0.112878679711392,0.0156310194434795,0.0503280268287829,0.165277969009801,0.247916953514701,0.165277969009801,0.177123535472625,0.000225389481091736,0.00376625847739407,791.636469539184,136.806893092377,2411.11350415027,6.42264596331617e-16,20.6186879801311,223.67656542879,356.615509181738,123.302308542631,48.2587161301873,14.5179057013344,14.7047036464394,10.721818146656,15721.4844074451,15707.9063652974,23.3190258396902,5.81309813263285,5.62781737707849,4.28357513339093e-17,1.90364458866146,25.2483153879807,5.57426395786607,6.20556189238438,7.97610258901787,3.59923495288853,2.43036355357451,1.89908633683026,3.54345721258587,59.1600355104135,2.55850434617528,0.442148693285105,7.79252171527835,2.07574666445761e-18,0.0666379137892742,0.722904371902228,1.15255216916182,0.398502980141128,0.155968224950268,0.0469206842578245,0.0475243999439978,0.0346520396452788,50.8105522326297,50.7666691105349
