"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau RNase","tau r","v Cin","v Met","v DNAp","v RNAp","v RNase","v r","p Cin","p Met","p DNAp","p RNAp","p RNase","p r","f Cin","f Met","f DNAp","f RNAp","f RNase","f r"
"1",-1,0.000105090591563647,100,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.100970254692465,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597941098938,0.0245898318255985,3.91864903415602e-08,-0.0755093689455869,-0.075471074116001,0.0141158867163171,0.00246971164100124,0.000135594251509561,-7.54450260925153e-05,134.193963135472,0.0960086455525038,0.0286255521452106,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"2",-1,0.000105090584137083,71.4285714285714,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.101358329678314,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597923813639,0.0245898300878791,3.91864875723211e-08,-0.0755093636094749,-0.0754710687825953,0.0141158857187726,0.0024792037000534,0.000135594241927358,-7.54450207609504e-05,134.193953652225,0.0960086387677447,0.0286255501222941,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"3",-1,0.000105090573740389,51.0204081632653,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.101901608845514,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597899615375,0.0245898276551879,3.91864836955712e-08,-0.0755093561392745,-0.0754710613161833,0.014115884322277,0.00249249194910403,0.000135594228512914,-7.54450132971154e-05,134.193940376312,0.0960086292695349,0.028625547290346,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"4",-1,0.000105090559185989,36.4431486880466,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.102662149090505,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597865740066,0.0245898242496476,3.91864782684836e-08,-0.0755093456816919,-0.0754710508639044,0.0141158823673136,0.00251109425598261,0.000135594209733945,-7.54450028484439e-05,134.193921791274,0.0960086159729287,0.0286255433258833,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"5",-1,0.000105090538811734,26.0308204914619,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.103726806290858,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597818319066,0.0245898194823368,3.9186470671271e-08,-0.0755093310424444,-0.0754710362320812,0.0141158796306206,0.00253713505199482,0.000135594183445845,-7.54449882216708e-05,134.193895774653,0.0960085973594196,0.0286255377761542,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"6",-1,0.000105090510291507,18.5934432081871,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.105217132084654,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597751938351,0.0245898128089747,3.91864600365646e-08,-0.0755093105501788,-0.0754710157502084,0.0141158757997517,0.00257358739733069,0.00013559414664732,-7.54449677468671e-05,134.193859356148,0.0960085713039157,0.0286255300075498,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"7",-1,0.000105090470370502,13.2810308629908,-1.23738684662301,105.21697921312,-1.2915685577943,-3.89551648530012,0.00037288295515805,-0.364398268351938,134.321127194036,0.107303207484208,0.00551424070206146,-1925.28153031608,-1777.182951061,-1.27212507145368,2.02789613720272,0.0244597659022366,0.0245898034679785,3.91864451507021e-08,-0.0755092818662606,-0.0754709870808373,0.0141158704375172,0.00262461133562285,0.000135594095138819,-7.54449390873909e-05,134.193808379578,0.09600853483289,0.0286255191334953,0.684557673917768,0.688197046996071,1.09671457399426e-06,-2.11328508049384,-2.11221332088104,0.395062138805988
"8",4,0.956502444215465,9.48645061642197,90.2023446038988,30.6997126867965,2.94356668288354,5.07898852693858,18.4772021693036,59.4650313115578,133.133155404504,0.134680919268584,0.175133522542482,0.261397792388505,0.241290269897082,0.10840830298029,0.228866960015707,325.210832358858,238.932069271263,17.6734890372022,56.8784477756676,-1.91866309791269e-08,127.342188550525,43.7996938581923,41.8450149398406,4.61981101812711,13.7242160151179,-2.0799901043562e-09,29.1444195753057,1.00000000407612,0.734698990535246,0.0543447122626577,0.174897150857349,-5.89975152985134e-11,0.391568104130893
"9",4,0.92493441547735,6.77603615458712,83.1864137070669,31.4818855514086,2.81133834784828,4.90295904901641,18.8090852434687,61.5818362190141,137.226482890904,0.146505336505963,0.180487616187047,0.268473152408892,0.247821371454362,0.108119277220344,0.232381948825639,314.477702195305,237.535725257502,17.3971702653313,56.9591596681248,-1.91309279089935e-08,126.925496740711,46.0726615837453,42.872256810988,4.67067314412775,14.1156970658427,-2.06842209807489e-09,29.4951942882687,1.00000000296684,0.755334080299,0.0553208389513784,0.181123047642149,-6.08339727497461e-11,0.403607302620306
"10",4,0.886621932205759,4.84002582470509,75.2300853359185,32.3627702427874,2.66014960606744,4.69228044094591,19.1425889945923,64.0313726230679,141.880751281961,0.161807817825472,0.187472853729208,0.277573286633606,0.256221495354097,0.10780867221047,0.237188228579962,301.451455642493,234.750812021957,16.9722392418061,56.771619357584,4.07326440244035e-08,125.794585844417,48.7772022178239,44.009404645005,4.71104022787998,14.5461092054738,4.39133226789268e-09,29.8369949813873,0.999999995662767,0.778735038792419,0.0563017323370362,0.188327566673557,1.35121735474529e-10,0.417296327299886
"11",4,0.841395483765063,3.45716130336078,66.6137114564618,33.3081634887378,2.4935143135478,4.44867541925783,19.4449913330621,66.7526460196265,146.938299669645,0.181446824066756,0.196478198035994,0.289070729028695,0.266834519103411,0.107490339781482,0.243620426885093,286.074465910779,230.025989934483,16.3609278894892,56.1653748154859,-7.47957804218149e-08,123.633221734157,51.9073032861042,45.1950920037728,4.72946535260056,14.986860779153,-8.03982385176201e-09,30.1195782560547,1.000000005001,0.804077324246698,0.0571911509795943,0.196331311560975,-2.61455633790105e-10,0.432171469616604
"12",4,0.789485878617204,2.46940093097198,57.7161704923574,34.2731162847085,2.31616897889881,4.17677639369665,19.6812714190666,69.6530095062691,152.183487244058,0.206551238242372,0.207967224573035,0.303351736934387,0.280016987939434,0.107178440724158,0.252032557725144,268.425198981739,222.85909741016,15.5380858585855,54.9900674525871,4.4197776548361e-08,120.146714137905,55.4435572251333,46.3473879592425,4.71350533383753,15.3981530546597,4.73704877392811e-09,30.2808836664479,1.0000000009384,0.830246558313817,0.0578860924090194,0.204861792830153,1.64655839904371e-10,0.447598491894288
"13",4,0.731524964546349,1.76385780783713,48.9461886331893,35.2101574674029,2.13323412198688,3.88347060125941,19.8209024860158,72.6244515692083,157.381593804193,0.238686684438191,0.22251031072779,0.320830834449505,0.296151539491851,0.106884733573837,0.262793429890766,248.718486982527,212.913128077955,14.4994849883594,53.1265993979164,3.85533113726201e-08,115.12856482786,59.3657910163428,47.3753662866514,4.65188186790342,15.7335241996598,4.12076041445167e-09,30.2550304295148,0.999999996127223,0.856040617794313,0.0582967720176937,0.213601328299738,1.55007823065521e-10,0.462887040600568
"14",4,0.668508203284732,1.25989843416938,40.6671037503733,36.0780083505375,1.94939423258401,3.57670568707843,19.8430809875454,75.5637700220922,162.321934882101,0.280090815552742,0.240840409127687,0.341988577845018,0.315681764164632,0.106616927660621,0.276300528544375,227.292787721172,200.106495260216,13.2652624186174,50.5150000736043,-5.72851747570766e-08,108.513545041734,63.6626222820794,48.193730187578,4.53656822928393,15.9466643400119,-6.10756933310128e-09,29.9823498492551,0.99999999385974,0.880390865182171,0.0583620029045453,0.222246382165886,-2.52032521487679e-10,0.47741745553559
"15",4,0.601745443477165,0.899927452978129,33.145172561719,36.8473315210232,1.76840185221914,3.26427956347599,19.7384741244516,78.3884138472153,166.847927226791,0.333986018927154,0.263937394663489,0.367427509987453,0.339163855373034,0.106378493650535,0.293012840450242,204.59345120159,184.648494639311,11.8775368655807,47.1698708456088,-8.35528267644134e-09,100.399979962331,68.331352265386,48.735642603635,4.36413379530448,15.9983152534447,-8.88822385144243e-10,29.4184833099101,1.00000000204969,0.902514200397578,0.0580543356601518,0.230554158333324,-4.08384659650444e-11,0.490729197725857
"16",4,0.532813212629443,0.642805323555806,26.5334771505437,37.5022570573439,1.59296439584084,2.95302922609697,19.5077981985115,81.0435487967555,170.866924027943,0.404991733490122,0.293147998576274,0.397940529692876,0.367329719716501,0.106169522527375,0.313497222824121,181.156491682893,167.019104480082,10.3940126294758,43.1810736009382,3.64789399042712e-09,91.0401547234394,73.3668815996437,48.9613162023376,4.13619889140803,15.8616916628902,3.87295163194128e-10,28.5408356712765,0.999999996626576,0.921960357948506,0.0573758770544455,0.238363378834123,2.01367002873224e-11,0.502549776552775
"17",4,0.463498841169673,0.459146659682719,20.8846560211256,38.0386313672087,1.42490661927487,2.64853275704924,19.1589016582332,83.5008823421743,174.343486537302,0.499680412085982,0.330350465303732,0.434587060916942,0.401157287000254,0.105987960677482,0.338481839480399,157.58960474734,147.909590883321,8.8801287166748,38.7025622073051,5.06207275874816e-09,80.8080039755201,78.7444386406177,48.8620021711897,3.85918903954384,15.5258148550411,5.36518768500753e-10,27.3520418303734,0.999999992065788,0.938574533180125,0.0563497107595093,0.245590830450281,3.21218695021193e-11,0.51277496040383
"18",4,0.395711757270768,0.327961899773371,16.1770286547433,38.4608428293669,1.26545151476654,2.35520078191045,18.7039596791943,85.7527565085852,177.284762187503,0.62734234643564,0.378179207623984,0.478774524731775,0.441945715137023,0.105830716356622,0.368911229823686,134.541998325243,128.140557888855,7.40137675257555,33.9333739739274,5.10287069889804e-09,70.153664782547,84.403892923498,48.4600946469025,3.54359063707516,14.9967092279194,5.40040461539594e-10,25.8804747515681,1.00000000634138,0.952420510298019,0.0550116461152773,0.252213989769061,3.79277162133534e-11,0.521425771139715
"19",4,0.331342442544639,0.234258499838122,12.3412439846295,38.7787056620338,1.11548812193826,2.07652807551777,18.1575780446471,87.8050676069177,179.725389200024,0.801046650143858,0.440330781974817,0.532344734583356,0.491395139615405,0.105694432150982,0.406000884651945,112.656430695695,108.567252769789,6.01637626000829,29.0935455669759,-1.69738422513621e-09,59.5506494448219,90.2430564259501,47.8055033089786,3.20278622328772,14.2964268857913,-1.79404061817807e-10,24.1776163561955,1.0000000020462,0.963702225620819,0.0534046413077856,0.258250198828809,-1.50669093466518e-11,0.528604085882423
