"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","W","CO2","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau tCO2","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v tW","v tCO2","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p tW","p tCO2","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f tW","f tCO2","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.667165413508018,0.15,0.001,0.001,2.06746699263052,4.92285403691152,12.7379763284631,3.55378956833022,19.4518284860382,15.7663201827958,6.05282258106368,14.1471372338104,49.1956753270819,8.88257883829193,2.58697405309107,13.8564632856255,15.6914483961793,171.086664016773,0.00744175000431654,0.623879186948567,0.205105480068247,0.000957811986083838,0.0030294621975249,0.163607960882848,0.11612759615492,0.0172001199808312,0.0252090443797515,0.017038591209017,0.230296583277699,2.07266924949929,0.230296583277699,0.13817794996662,0.000359793786769342,0.00592426285622024,266.087014536738,1.9299626402111e-16,39.2507743929578,1323.53836032843,2164.45041365719,15.3485526822502,159.499550153147,251.268799117304,52.4360036808323,1814.68992474181,32.8216530723987,5.9261493836666,12.0845334647166,9.24455305771303,11425.3302751382,11414.3104944458,1.98015304157735,1.20406352281601e-16,8.05054892491808,1.26770090556432,6.55712070659159,2.51114540684592,18.5222993470762,4.32185349225701,1.32186154388691,30.9197597987974,7.55871456009943,12.282947595465,2.78302676742926,1.27739338987243,4.11076284478238,67.62137569161,1.17303572763086,8.5081759209555e-19,0.173035729610026,5.8347747117921,9.54190744830479,0.067663582512848,0.703148446369826,1.1077101192505,0.231162373101478,8,0.144693162726711,0.0261252318773292,0.053274262671342,0.0407543037812516,50.3681873993487,50.3196070637568
"2",-1,0.666669154138869,0.13953488372093,0.001,0.001,2.06746699263052,4.92285403691152,12.7379763284631,3.55378956833022,19.4518284860382,15.7663201827958,6.05282258106368,14.1471372338104,49.1956753270819,8.88257883829193,2.58697405309107,13.8564632856255,15.6914483961793,171.086664016773,0.00763923688414914,0.623879186948567,0.205105480068247,0.000957811986083838,0.0030294621975249,0.163607960882848,0.11612759615492,0.0172001199808312,0.0252090443797515,0.0170798136071033,0.230296583277699,2.07266924949929,0.230296583277699,0.13817794996662,0.000359793786769342,0.00592426285622024,265.889090346876,1.92852707112595e-16,39.2215783882722,1322.55386937844,2162.84042492713,15.3371359287476,159.380909191647,251.081897198811,52.3970000730605,1813.34009925772,32.7972392575961,5.92174132069589,12.0755445950417,9.23767665798426,11416.8317422708,11405.8201584503,2.03118974607072,1.20316790114236e-16,8.04456066436095,1.26675794833223,6.55224330659542,2.50927753508546,18.5085218574116,4.31863875683429,1.32087830020763,30.9715109016081,7.5530921419656,12.2738111388957,2.78095666145559,1.27644322305476,4.10770512546005,67.5710767094351,1.17303572763086,8.5081759209555e-19,0.173035729610026,5.8347747117921,9.54190744830479,0.067663582512848,0.703148446369826,1.1077101192505,0.231162373101478,8,0.144693162726711,0.0261252318773292,0.053274262671342,0.0407543037812516,50.3681873993487,50.3196070637568
"3",4,0.666138428343926,0.129799891833423,0.001,0.001,2.03236919418036,4.91798594627534,12.7248541747592,3.5630354619678,19.4443903265639,15.7284790888487,6.0312000065667,14.2124079290676,49.1635260655784,8.88213666498644,2.58572834681786,13.8404931798116,15.6830913044111,171.190302393565,0.00780355272523905,0.621799816563429,0.204525252515959,0.000970150181572962,0.00302955848380113,0.163842605325853,0.116180796182651,0.0172188486509135,0.0252299811131873,0.0171250029693715,0.23045062567526,2.07405563107734,0.23045062567526,0.138270375405156,0.000360047454474643,0.00592709985738729,265.703897408001,1.2853113230127e-19,39.2168317155099,1321.75029093587,2161.72229044561,15.326130455012,159.296652473367,250.743619662022,52.5968393380658,1811.89652509548,32.74971398517,5.91673255835003,12.0595932333991,9.21968437430453,11414.640856094,11403.6438984171,2.07343437272484,7.99206344876193e-20,8.02083240949054,1.28229628474555,6.54906410464149,2.51107314331306,18.5072119135869,4.31751643714257,1.32701726311275,31.0287333724539,7.54719207856823,12.2716324802245,2.77914080602595,1.27480921955214,4.1098123839789,67.5905361240032,1.17315263306882,5.67498774995428e-22,0.173152632823526,5.83587538307674,9.54457281861257,0.0676688993780342,0.703336643200297,1.10709906968361,0.232228887729863,8,0.14459860607523,0.0261239313676072,0.053246277881188,0.0407073328817989,50.3986434015265,50.3500889392837
"4",-1,0.665568232842816,0.12074408542644,0.001,0.001,2.03236919418036,4.91798594627534,12.7248541747592,3.5630354619678,19.4443903265639,15.7284790888487,6.0312000065667,14.2124079290676,49.1635260655784,8.88213666498644,2.58572834681786,13.8404931798116,15.6830913044111,171.190302393565,0.00803065018104407,0.621799816563429,0.204525252515959,0.000970150181572962,0.00302955848380113,0.163842605325853,0.116180796182651,0.0172188486509135,0.0252299811131873,0.0171726430381146,0.23045062567526,2.07405563107734,0.23045062567526,0.138270375405156,0.000360047454474643,0.00592709985738729,265.476462447814,1.28421113316818e-19,39.1832632257479,1320.61891037379,2159.87191780201,15.3130117243352,159.160299080863,250.528990273025,52.5518179432819,1810.34559333246,32.7216811637887,5.91166800398341,12.0492705654456,9.21179258736027,11404.8702489859,11393.8827043912,2.13194860121948,7.98522247032687e-20,8.01396680564538,1.28119867568782,6.54345829250087,2.50892373630042,18.4913702678836,4.31382076617739,1.32588137417266,31.0884186499222,7.54073189734147,12.2611283127215,2.77676194073742,1.27371801920874,4.10629450176098,67.5326805522847,1.17315263306882,5.67498774995428e-22,0.173152632823526,5.83587538307674,9.54457281861257,0.0676688993780342,0.703336643200297,1.10709906968361,0.232228887729863,8,0.14459860607523,0.0261239313676072,0.053246277881188,0.0407073328817989,50.3986434015265,50.3500889392837
"5",4,0.664958876674818,0.112320079466456,0.001,0.001,1.99360643417406,4.91209748526253,12.7087533356105,3.57339543067609,19.4352176783988,15.684031404384,6.00740953457485,14.2856406020833,49.1245979905145,8.88157718840139,2.5842167872274,13.8212050397225,15.672976104151,171.31527699094,0.00821634159609222,0.619503908639433,0.20387850763859,0.000984214132173037,0.00302983560039438,0.164115516895941,0.116243335820152,0.0172411778576837,0.0252544833806668,0.0172249426606148,0.230638289247268,2.07574460322541,0.230638289247268,0.138382973548361,0.000360355676947611,0.00593055098771761,265.263700967461,3.28803810616785e-16,39.1776815640345,1319.69017336231,2158.61809299355,15.2997815268558,159.065367200081,250.129977130395,52.7742418185639,1808.6881445555,32.6658374968745,5.90588359030007,12.0305784280306,9.19053297750622,11402.7318193387,11391.7614145131,2.17949718019232,2.03695245852638e-16,7.98748725001526,1.29885771871307,6.54025794580728,2.51093155367491,18.4902888967948,4.31253542324351,1.33278621293421,31.1545495809023,7.53399287710839,12.2591059898429,2.77471202729605,1.27181328192158,4.10903914380988,67.559421908684,1.17328662441209,1.45433058366219e-18,0.173286618511729,5.83711538038141,9.54777350420037,0.0676723914972787,0.703561275298444,1.10634872189917,0.233425500034041,8,0.144484111736807,0.0261222858482394,0.0532123946927828,0.0406506030580074,50.4353693196393,50.386846173806
"6",-1,0.664304255252361,0.104483794852517,0.001,0.001,1.99360643417406,4.91209748526253,12.7087533356105,3.57339543067609,19.4352176783988,15.684031404384,6.00740953457485,14.2856406020833,49.1245979905145,8.88157718840139,2.5842167872274,13.8212050397225,15.672976104151,171.31527699094,0.00847735094297859,0.619503908639433,0.20387850763859,0.000984214132173037,0.00302983560039438,0.164115516895941,0.116243335820152,0.0172411778576837,0.0252544833806668,0.0172800001880824,0.230638289247268,2.07574460322541,0.230638289247268,0.138382973548361,0.000360355676947611,0.00593055098771761,265.002561057394,3.2848011839195e-16,39.1391129389155,1318.39099909937,2156.49303278886,15.2847195958136,158.908774663922,249.883735675214,52.7222880053881,1806.90757428642,32.6336794826604,5.90006951960734,12.0187348770385,9.18148532060305,11391.5063544487,11380.5467494819,2.24651971087164,2.03494717254156e-16,7.97962393628433,1.29757905304333,6.53381936274614,2.50845965707647,18.4720860580271,4.3082899305188,1.3314741462228,31.2233632235169,7.52657600772445,12.2470374639797,2.77198045095662,1.27056124025567,4.10499398381036,67.492912765906,1.17328662441209,1.45433058366219e-18,0.173286618511729,5.83711538038141,9.54777350420037,0.0676723914972787,0.703561275298444,1.10634872189917,0.233425500034041,8,0.144484111736807,0.0261222858482394,0.0532123946927828,0.0406506030580074,50.4353693196393,50.386846173806
"7",4,0.663605200370585,0.0971942277697837,0.001,0.001,1.95071380422526,4.90556605765794,12.6909499382457,3.58547033542883,19.4250193810537,15.6339644856513,5.97831110179849,14.3689994656292,49.0811113669705,8.88095988097656,2.58252913393093,13.7996747461318,15.6616738846604,171.455056422529,0.00868581028713938,0.616918276043563,0.203169966971756,0.00100037846847373,0.00303006322408433,0.164428164307507,0.116314375441836,0.0172663591753974,0.0252824280311618,0.0173404042972761,0.230847713723957,2.07762942351561,0.230847713723957,0.138508628234374,0.000360699140382848,0.00593441009350951,264.759162474653,2.10837227308967e-16,39.1333943454119,1317.32329324867,2155.03163409993,15.2698806389315,158.798565526245,249.433158903534,52.9741264972984,1805.00614500799,32.5704807430895,5.89345116129858,11.9975462288426,9.15753592495568,11388.7868842732,11377.8467071823,2.29964785703675,1.30069338797253e-16,7.95073043665002,1.31782185858488,6.52988210122455,2.51079844265425,18.4705559702446,4.30680251188238,1.33931454068161,31.2995363135064,7.51882101443235,12.2444075387662,2.76960611722579,1.26839773897261,4.10792563916079,67.5208083415063,1.17344381660698,9.3445544389782e-19,0.173443816592607,5.8385321153257,9.55135422695366,0.0676779109308302,0.703813960813046,1.10551716222519,0.234787572967798,8,0.144356209902854,0.0261204702381663,0.0531745390984892,0.0405872786650935,50.4764459257738,50.4279577713322
"8",-1,0.662854331214175,0.0904132351346825,0.001,0.001,1.95071380422526,4.90556605765794,12.6909499382457,3.58547033542883,19.4250193810537,15.6339644856513,5.97831110179849,14.3689994656292,49.0811113669705,8.88095988097656,2.58252913393093,13.7996747461318,15.6616738846604,171.455056422529,0.00898558462418845,0.616918276043563,0.203169966971756,0.00100037846847373,0.00303006322408433,0.164428164307507,0.116314375441836,0.0172663591753974,0.0252824280311618,0.0174040346191973,0.230847713723957,2.07762942351561,0.230847713723957,0.138508628234374,0.000360699140382848,0.00593441009350951,264.459587533305,2.10598665026874e-16,39.089114917247,1315.83274219608,2152.593216221,15.2526027719295,158.618884979937,249.150925332275,52.9141862833694,1802.96378090256,32.5336272504017,5.88678272244463,11.9839710075953,9.14717417482032,11375.9004741071,11364.9726758244,2.37632400345849,1.29922165365455e-16,7.94173418669224,1.3163307434057,6.52249354088466,2.50795747469996,18.4496565397217,4.30192936566967,1.33779910653678,31.3788440599869,7.51031346990264,12.2305529939943,2.76647230843757,1.26696254717525,4.10327752209126,67.4444085598722,1.17344381660698,9.3445544389782e-19,0.173443816592607,5.8385321153257,9.55135422695366,0.0676779109308302,0.703813960813046,1.10551716222519,0.234787572967798,8,0.144356209902854,0.0261204702381663,0.0531745390984892,0.0405872786650935,50.4764459257738,50.4279577713322
"9",4,0.662053135928193,0.084105335009007,0.001,0.001,1.90421381743708,4.89826853212134,12.6712172607231,3.59919850950696,19.4141692983288,15.5778956701333,5.94725820055886,14.4636832746543,49.0321532308505,8.88016876813893,2.58061630131735,13.775657719504,15.6489437919971,171.606555633838,0.00921944450817168,0.614015740044409,0.202361527525674,0.00101867533287057,0.00303031574790447,0.164781435753887,0.116394503109219,0.0172946538497972,0.0253139589893375,0.0174737435550461,0.231081619463286,2.07973457516957,0.231081619463286,0.138648971677971,0.000361084266713074,0.00593875430782625,264.178167771107,4.83235839015113e-14,39.0801015494897,1314.58738520897,2150.87512456722,15.2360723254467,158.487741264787,248.641387646904,53.1984826058725,1800.78452972469,32.4618908077963,5.87914358051798,11.9598802441446,9.12021739267104,11372.1715485444,11361.2658303219,2.43557595803619,2.96714411308846e-14,7.90830904541318,1.33913774221521,6.51783076175202,2.51062187303718,18.4471018934173,4.30016673208645,1.34666420698004,31.4664470703035,7.50134629870591,12.2270581767895,2.76370849540389,1.26450876297339,4.10631222454145,67.4717663921831,1.17361367075492,2.14677916669572e-16,0.173613670728122,5.84006520940051,9.55528033060593,0.0676863759054,0.704083086671195,1.10459139799437,0.236334694030299,8,0.144212215384855,0.0261181434357027,0.0531318657917306,0.0405166403514823,50.5209651052837,50.4725163628936
"10",-1,0.661192671489058,0.0782375209386111,0.001,0.001,1.90421381743708,4.89826853212134,12.6712172607231,3.59919850950696,19.4141692983288,15.5778956701333,5.94725820055886,14.4636832746543,49.0321532308505,8.88016876813893,2.58061630131735,13.775657719504,15.6489437919971,171.606555633838,0.00956352714921886,0.614015740044409,0.202361527525674,0.00101867533287057,0.00303031574790447,0.164781435753887,0.116394503109219,0.0172946538497972,0.0253139589893375,0.0175472818435502,0.231081619463286,2.07973457516957,0.231081619463286,0.138648971677971,0.000361084266713074,0.00593875430782625,263.834817809258,4.82607781790363e-14,39.0293094969545,1312.8788279411,2148.07965173086,15.2162701408234,158.281756188972,248.318230696869,53.1293410218905,1798.44406645024,32.4197003835669,5.87150251107947,11.944336096571,9.1083639290777,11357.3912406171,11346.4996964573,2.52319144302805,2.963287742872e-14,7.89803068807599,1.33739727707163,6.50935959639317,2.50735884062388,18.42312636287,4.29457784449644,1.34491395975866,31.5578049138628,7.49159686714914,12.2111667804869,2.76011652860941,1.26286529243535,4.10097528789172,67.3840739510851,1.17361367075492,2.14677916669572e-16,0.173613670728122,5.84006520940051,9.55528033060593,0.0676863759054,0.704083086671195,1.10459139799437,0.236334694030299,8,0.144212215384855,0.0261181434357027,0.0531318657917306,0.0405166403514823,50.5209651052837,50.4725163628936
