"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","W","LIP","rRNA","mRNA","tRNA","TC","p","tau tC","tau tW","tau FER","tau RES","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau tRNAc","tau r","v tC","v tW","v FER","v RES","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v tRNAc","v r","p tC","p tW","p FER","p RES","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p tRNAc","p r","f tC","f tW","f FER","f RES","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f tRNAc","f r"
"1",4,0.678281601986121,0.6,1,11.1849375518595,2.91328595287403,6.87627478173677,2.84281689863132,6.11737517523022,49.0560210550774,4.42166691688099,20.1809463191106,5.38430944910869,1.4144672131161,5.37890894351435,224.228988807835,0.0319362943177927,0.0343567267103945,0.00521984475042367,0.197953842688112,1.34035168100306,0.154455709152078,0.179189117460879,0.318034485308163,0.170753170660606,0.195586772172315,1.14542757986577,1.14542757986577,0.114865507060782,0.118572483796702,0.413767427743418,0.000364651089031384,0.00344122124603946,664.004582571135,433.388838530063,2333.31314913632,0.000262555091526308,6.07753343396211,170.430552591886,97.7588156901904,16.6618628879504,262.635375517594,15.6406019090609,5.54321015557569,5.11176421323336,1.9522373101386,1.89113211684524,0.54234651897777,15212.8802108466,15209.0397740306,21.2058457773549,14.8898218847127,12.1795323926137,5.19737892849616e-05,8.14603215456342,26.3239718617603,17.517315907546,5.29904698784448,44.8458230972681,3.05909484222537,6.34934579318842,5.85515571160834,0.224244728532047,0.224236232282055,0.224405324103029,5.54739333618919,52.3376708022534,2.87926821087644,1.87926821362651,10.1177530286223,1.13849595089875e-06,0.0263535060995926,0.739023924111779,0.423903475575095,0.07224945942616,1.13884407973705,0.0678210498207034,0.0240365642136915,0.0221657208202804,0.00846532535273101,0.00820035995160716,0.00235173240119152,65.966355559405,65.9497025905396
"2",4,0.669262721721023,0.491803278688525,1,10.2011313699882,2.80905450484747,6.7716020811884,2.84572842191209,6.12383665934694,48.9638066475155,4.50201687648325,20.0776271583836,5.37429728391887,1.41923682158762,5.36734273827818,225.544318909963,0.0339730690027446,0.03428426081716,0.00526132321169869,0.200347584777736,1.34652423570895,0.157415824014906,0.18325311111398,0.320616162189861,0.170733253256489,0.19640541493762,1.14767554088537,1.14767554088537,0.114942004731607,0.118607083813399,0.409025313737848,0.000368146283674923,0.00344874804615731,658.701431687684,431.152106654959,2319.60877943377,6.35471409108169e-05,6.00299553893713,168.902808979173,96.0275241767165,16.7390670443842,264.235155551714,15.3994759784418,5.49863353953179,5.05584395741308,1.96226858072208,1.90181671195835,0.551651485887977,15098.6216978285,15094.8404742396,22.3781091909324,14.7817312764266,12.204211513295,1.27315162010126e-05,8.08317898003155,26.5879748538889,17.5973425579563,5.36681543440925,45.1137277320787,3.02454046936777,6.31064722161259,5.8024684484561,0.225547084490041,0.225568934152966,0.22563942208928,5.55850146666912,52.0583015925902,2.89476328076461,1.89476328231339,10.1938723637507,2.79267542557015e-07,0.0263810737684083,0.742268994615959,0.422007509862669,0.0735623672627983,1.16122144112918,0.0676753312820278,0.0241645785159981,0.0222186725838699,0.00862348669854664,0.00835782179858961,0.00242431606841399,66.3531815454636,66.3365643852832
"3",-1,0.659244859088806,0.403117441547971,1,9.26283503141568,2.69960534781408,6.65339620174647,2.8467214902962,6.13004874339418,48.8473605552113,4.58912751706897,19.9557877679524,5.36334898668301,1.42295975197143,5.35475653589771,226.874059519478,0.0362643300074968,0.034217356889086,0.00531025478594291,0.203201628574306,1.35376965077773,0.160692917115626,0.187973345414028,0.323599875427263,0.170677972114044,0.197347014728027,1.15029918100135,1.15029918100135,0.115033232638492,0.118645066776057,0.404063280418075,0.000372303185261129,0.0034576394984228,652.490152743821,428.346895742959,2302.74631887641,0.000164687811536675,5.91788962778181,167.095733912318,94.0917165514049,16.8075484629483,265.867371912579,15.1280273219018,5.44826251271147,4.99291963902688,1.97227682681191,1.91250226574154,0.561903922181594,14960.2716301118,14956.5557398824,23.6621182257439,14.656898603969,12.2281696606259,3.34648315105907e-05,8.01145937474333,26.8511009199467,17.686734735916,5.43892058884776,45.3777038893292,2.98547103070134,6.26713190625237,5.74335137157819,0.226877379046161,0.226908959028265,0.227044742076477,5.56975678026232,51.7143778865795,2.91104080385727,1.91104078194865,10.2735473738456,7.3474356243571e-07,0.026402265393207,0.745486345692349,0.419783846597991,0.0749857437429571,1.1861493461583,0.0674926734614091,0.024307055697216,0.0222755741806484,0.00879918002625514,0.00853249985403067,0.00250689644654342,66.7442427581619,66.7276645645523
"4",-1,0.648136452160731,0.33042413241637,1,8.37647749524766,2.58970707776294,6.52067695952756,2.84659286360758,6.13480022461668,48.7022874229335,4.68321961707201,19.8141486774636,5.3514073870192,1.42726718541653,5.33825978823941,228.215151797378,0.0388500767624717,0.0341585146315531,0.00536720925732205,0.206558365756507,1.36227441211687,0.164373849969296,0.193365970813847,0.327052645696613,0.170617993541878,0.198431652341941,1.15335831021944,1.15335831021944,0.115140695918024,0.118686673012891,0.398496211732106,0.000376788659692797,0.00346841514524488,645.269957351139,424.903565887375,2282.34646833912,9.81294218965973e-08,5.82116825166239,164.982830259998,91.9363333453956,16.8631408183255,267.51592439073,14.824044971242,5.39150836027944,4.92125359961543,1.98177294484556,1.92306616239009,0.572689168435929,14795.09790338,14791.4558815275,25.0687873756086,14.514074672363,12.249831093286,2.0269453019592e-08,7.93002855786677,27.1188629886668,17.7773583503979,5.5151348193879,45.643030260047,2.9415597380348,6.21834097194589,5.6759687358138,0.22818271602103,0.228242324797748,0.228214464121728,5.57462510903828,51.3029095997116,2.92816861235263,1.92816862265767,10.3570532224046,4.45301210559168e-10,0.0264158620241881,0.748675092712459,0.417197612518448,0.0765231963573857,1.21395971435125,0.0672699894027046,0.0244661096862689,0.0223321420122766,0.00899308152781176,0.008726676195036,0.00259880446709822,67.1386305899046,67.1221034698172
"5",4,0.635826740096351,0.270839452800303,1,7.53890876184526,2.4759725660082,6.36709199316594,2.83713931015087,6.14316996411813,48.3224442966171,4.78609879122275,19.6404049308768,5.33328598968669,1.43098534723819,5.31613902347431,229.808359669055,0.0417563964847211,0.0341987018539862,0.00543810959531807,0.2107249935253,1.37264127437105,0.168489714106669,0.19959334533653,0.331041965626769,0.170328256034095,0.199715665665489,1.15705757056335,1.15705757056335,0.115274634156263,0.118750166443985,0.392354216250867,0.000381902414633078,0.00348218727990585,637.602516448861,421.421424406975,2260.73062699345,6.1944477305791e-05,5.70992077091512,162.673995316947,89.4959588036165,16.9062755122347,269.850212050993,14.4816676546445,5.32736641208188,4.84018033723218,1.99377301327281,1.93632056725785,0.58575869984339,14615.388063153,14611.8300175265,26.6239834764945,14.4120656481763,12.2941009150826,1.30532495791909e-05,7.83767292354665,27.408894963542,17.8627978117141,5.59668667699788,45.9631160090764,2.89221589559372,6.16406963826425,5.60036730208637,0.229831454695653,0.229938389650782,0.229824895589181,5.5816519921176,50.8811286231772,2.94939077064149,1.94939076874896,10.4575779959235,2.86539756266103e-07,0.0264126743360836,0.752489471157319,0.413986061998656,0.0782042286147508,1.24826001207083,0.0669885952803192,0.0246430729526143,0.0223894712561379,0.00922269842479916,0.00895693768882991,0.00270957416034542,67.6071526550578,67.5906940203103
"6",4,0.622294454714866,0.221999551475658,1,6.77728548673408,2.37115157428346,6.21653531708336,2.84625906712562,6.13653090258301,48.3128393464539,4.89537434127674,19.4680654995331,5.31513860119049,1.43243972975441,5.29642146647518,230.93196082339,0.0451180116488699,0.0340710716397615,0.0055078639549684,0.21494633659053,1.38339623493975,0.173109387534471,0.206601487845487,0.335656455837819,0.170590431265601,0.201030136188325,1.16086130762451,1.16086130762451,0.115409851585264,0.1188141848225,0.386802130184287,0.000387520534676129,0.00349705931517003,627.411412796831,415.831296852183,2229.48054434506,4.75924116696897e-20,5.58994038601797,159.734699798451,86.9267823151128,16.9242461462775,270.74433089893,14.115823200854,5.25123184282919,4.74967303235378,2.00095399646875,1.94365056526742,0.59703406243122,14374.2372675862,14370.7678636826,28.3075554312013,14.1678179051057,12.2796755285015,1.02298145379082e-20,7.73310248355492,27.6515760501124,17.959202559923,5.68073247918638,46.186392170765,2.83770586047799,6.09595186370618,5.51371164712709,0.230929803761399,0.230933257492039,0.230934047140974,5.57031211149654,50.2554276238374,2.96536096491827,1.96536095857744,10.5372877244527,2.24938018201653e-22,0.0264199704991429,0.754960834094118,0.410845709570562,0.0799897768182473,1.27963032540593,0.0667162092587799,0.0248191180569168,0.0224485795428585,0.00945719308368247,0.00918635746518005,0.00282178721545414,67.9375625377353,67.9211649480558
"7",-1,0.607425067472533,0.181966845471851,1,6.06660088409024,2.26396573135544,6.04443699402735,2.84650818557414,6.13214804070242,48.0637487889378,5.01500894749388,19.2603856484862,5.2912576947907,1.43357675864934,5.2700093156696,232.31235360942,0.048932634057685,0.0340450673482987,0.00559407592446999,0.220121628998358,1.39647635650282,0.178283897463795,0.214696296191445,0.340989700258447,0.170648327774941,0.202581329488925,1.16544138039459,1.16544138039459,0.115576012104596,0.118899098431447,0.38057224510275,0.000393781810895857,0.00351551171329153,616.617612803137,410.093089498508,2196.44107254073,4.2073273424277e-05,5.45386086405882,156.559691311419,84.0626260027076,16.9235674905935,272.273093078187,13.7092678804184,5.1678232573865,4.64867408726012,2.01002682833969,1.9537806951137,0.610444029696674,14114.6043231843,14111.2347065905,30.1727240008192,13.9616468510486,12.2870581234171,9.26123748344518e-06,7.61618774831418,27.9120719527284,18.047934450908,5.77076220592107,46.4629480319033,2.77724171353498,6.02279507072378,5.41775714526099,0.23231088504275,0.232302763181785,0.232318054891233,5.55807445046201,49.6082109000248,2.98568714273367,1.98568714097132,10.635255519616,2.03720472635424e-07,0.0264078124302257,0.758068286914297,0.407034597178857,0.0819445906453248,1.31835720621137,0.0663808233773642,0.0250228068986816,0.0225090658536264,0.00973263029358123,0.00946028426694424,0.00295579440642053,68.3434786446147,68.3271628262999
"8",4,0.591163954394776,0.149153152026107,1,5.41421930053239,2.15895393432522,5.85848184401168,2.84767135259679,6.12291316745035,47.7750207670388,5.1448217614174,19.0282093735538,5.26344754103334,1.43338676766035,5.23953519034649,233.713339185489,0.05331336935763,0.0340330004941475,0.00569279528671345,0.226054599464873,1.41165122443858,0.184096063801941,0.22399131712144,0.347164313243022,0.170783403927733,0.204336160028261,1.17069268568651,1.17069268568651,0.115766065745364,0.11899895443441,0.374122868346228,0.000400732058404174,0.00353716156002622,604.472549218835,403.476804614975,2158.59837406455,2.19654902218213e-15,5.30308621810363,152.99127596838,80.9549339445853,16.8968509840878,273.695609666293,13.2676356081817,5.07557661175803,4.53688828745197,2.01884410985988,1.9640161496513,0.624701822148611,13819.5506254462,13816.2901787701,32.2264682830519,13.7315262908385,12.288458649782,4.9654000941434e-16,7.48610815308933,28.1650917018152,18.1332022817269,5.86598366786054,46.7426678588858,2.71105771283008,5.94194041502663,5.31130193389681,0.233713639951679,0.2337158683008,0.233715237563353,5.53793696835576,48.8704505225133,3.00738978698231,2.00738978643685,10.7395227669936,1.09283359590991e-17,0.0263840721177857,0.761166741879833,0.402769392696828,0.0840657150558399,1.36169852926493,0.0660095348862621,0.025252159564522,0.0225720614079088,0.0100442131993391,0.00977143150265919,0.00310803506671537,68.7554388786742,68.7392174074966
"9",4,0.573438809121712,0.122256681988613,1,4.8182202021136,2.05653350562597,5.65956597060544,2.85096052395404,6.10727152930695,47.44368170089,5.28575230964434,18.769667328332,5.23083105729691,1.43174344536675,5.20461038885315,235.141164270153,0.0583678005803884,0.0340369076555966,0.00580542926978685,0.232810050554355,1.42922452705185,0.190637621767252,0.234706203897174,0.354327332456918,0.171039710031953,0.20630882001431,1.17669199461474,1.17669199461474,0.115983234798582,0.119117421095163,0.367490869100623,0.000408440465211746,0.00356259058900612,590.887303892232,395.918107510851,2115.62077922879,1.54040318788257e-15,5.13699792045809,149.00945973983,77.6028643239705,16.8391972764155,274.955055024305,12.79066618035,4.97373310182597,4.41399020774198,2.0274104999806,1.97417156961277,0.639863426906308,13487.0485273342,13483.906921457,34.4887923190652,13.4758280645254,12.2820867955041,3.58621344045032e-16,7.34192342333304,28.4068090256241,18.2138736970266,5.9665878516681,47.0282328831768,2.63882724686495,5.85255192426898,5.19390694175786,0.23514562805236,0.235158226171662,0.235143966859502,5.50865637483775,48.0376399014171,3.03067006859713,2.03067006203199,10.8510515116436,7.90075163967096e-18,0.0263477413331214,0.764271810540871,0.398026284529809,0.0863685017915742,1.41024870560363,0.0656035235397007,0.0255103535675966,0.0226394236558588,0.0103986196328418,0.0101255563402527,0.00328186935671343,69.175279306667,69.1591659618098
"10",4,0.554195145595275,0.100210395072633,1,4.27589446783113,1.95710109558249,5.4478017730249,2.85742905353193,6.08347834713796,47.0666300639505,5.43867871102737,18.4834062666922,5.1930955212291,1.42831529396972,5.16484388076833,236.603324432648,0.0642262904327672,0.0340592621940836,0.00593384695905813,0.240466220371554,1.4496603270698,0.198023480256767,0.247108664544225,0.362658493936602,0.171461900952309,0.208531091098834,1.18356027654155,1.18356027654155,0.116230774548337,0.119256337494892,0.360719807610728,0.000417010432497554,0.00359237173124938,575.785064649713,387.358715752834,2067.21406823832,3.06995811493116e-07,4.95500747866799,144.598820630912,74.0099465134371,16.7449407783541,275.983557562823,12.2791329364153,4.8620078493248,4.27969109560197,2.03571890934918,1.98401952084706,0.655924091101564,13115.4543636557,13112.4413832278,36.9805387890421,13.1931520629893,12.2665319125381,7.38221224596478e-08,7.18307776215913,28.6339617023571,18.2884990459249,6.07269500373549,47.3206654113026,2.56058098897831,5.75447935469405,5.06527237662308,0.23661318559635,0.236606901574591,0.236604811949398,5.46928129658997,47.1047637527719,3.0557566188077,2.05575662202124,10.9709394344131,1.62926157781991e-09,0.0262967864725578,0.767402335250754,0.392779177163313,0.0888672991997937,1.46467603013939,0.065166750663284,0.0258032268956261,0.0227128058623648,0.0108037910553657,0.0105294165390699,0.00348106351810012,69.6052032971591,69.589213068426
