"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","CI","W","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau GLY","tau RES","tau FER","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v tW","v GLY","v RES","v FER","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p tW","p GLY","p RES","p FER","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f tW","f GLY","f RES","f FER","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",4,0.711140636332675,0.8,0.01,6.74705610063015,4.1016801997444,5.74824942140119,8.91197594644745,12.5041927750154,14.4893647401893,13.886480637977,32.5547464304059,54.4219642834466,17.1751426722609,1.78492606159182,4.43726913689949,10.4000980053118,152.836852506677,0.0414325857879339,0.0201940773167372,0.00901421987712182,0.0497039888891518,0.00402443030513924,0.202633529486066,0.112049235530623,0.031850671866004,0.0333195845523994,0.115994635047503,0.048887056918987,0.0651827425586493,0.048887056918987,0.0300531068406078,0.00529111839682563,0.0390061824060682,0.00977741138379739,0.000193897900726935,0.00454759932111047,503.582780258356,261.794964674702,1907.3043099242,2.77136140964727e-06,271.670205296587,15.229907852389,152.671354958528,245.437934284298,128.616683845376,160.749640999633,43.7874906369537,41.1141191481081,12.5056875205149,5.08582032594939,28.900177259052,3.9182736709369,3.15552239759404,10876.634846577,10868.8496546682,20.8647367443806,5.28670775777341,17.1928604222389,1.37747716712932e-07,1.09331780719898,3.08608998187714,17.1067086105274,7.81736310835904,4.28545447223524,18.6460959417696,2.14064154710836,2.67993104395676,0.611366257626475,0.152844701627892,0.152914259566892,0.152836897525459,0.0308528406120636,2.10895666372472,49.4271733108208,2.08274671509055,1.08274671827291,7.88833920042834,1.14619564023025e-08,1.12358930815537,0.0629887315337143,0.63142699769274,1.01509636832097,0.531940301150423,0.664837639150818,0.181098829946857,0.170042145912202,0.0517217439205102,0.0210342291131907,0.119527020405552,0.0162054222997515,0.0130507915791161,44.9842138889773,44.9520154431404
"2",-1,0.702656219848666,0.727272727272727,0.01,6.43059276548484,4.06713420277177,5.70003527283257,8.98882780252069,12.4376773229875,14.5009843432169,13.7802017080251,33.0551091294578,54.1409124548696,17.1019105500812,1.77609761690661,4.41381400686439,10.3560259165251,153.250677052526,0.043095394069761,0.0201173521803856,0.00913027378547285,0.0495705544333474,0.00402209577813418,0.203165834015605,0.113497268505992,0.0323483218717471,0.0333471002547236,0.116080172753023,0.0490746841743691,0.0654329122324921,0.0490746841743691,0.0300793381110677,0.0052923649954406,0.0390758029074674,0.00981493683487381,0.000194776605318194,0.00456625423672663,498.748791833575,259.845676983095,1892.099063,2.99283389795038e-06,269.528421364152,15.0554670960576,150.951612611426,241.525011520236,129.035433486611,161.066729020085,43.1391497725374,40.9878130735461,12.3734115167066,5.0967008878412,28.971049254236,3.92529657200271,3.10139386517842,10775.913854301,10768.2541426976,21.4937757258851,5.22740699641964,17.2753824744267,1.48356435648317e-07,1.08406912565592,3.05875652906505,17.1325957079715,7.81292881273403,4.30295753688973,18.6966537294159,2.11704015063808,2.68195197544313,0.607221262341878,0.153305389256355,0.153325366954304,0.153384115200935,0.0304399848867914,2.09889591974204,49.1705861012422,2.08766131977193,1.08766131934526,7.91994304884431,1.25273958905912e-08,1.12819132411831,0.0630191327220829,0.631852844490151,1.0109747282887,0.540116162246043,0.674192670906,0.180571734353245,0.171566675121365,0.0517925918618937,0.0213337565448054,0.121266938209362,0.0164304955845143,0.0129818059025423,45.105790544602,45.0737285448605
"3",-1,0.695092763095317,0.661157024793388,0.01,6.43059276548484,4.06713420277177,5.70003527283257,8.98882780252069,12.4376773229875,14.5009843432169,13.7802017080251,33.0551091294578,54.1409124548696,17.1019105500812,1.77609761690661,4.41381400686439,10.3560259165251,153.250677052526,0.0464388692707193,0.0201173521803856,0.00913027378547285,0.0495705544333474,0.00402209577813418,0.203165834015605,0.113497268505992,0.0323483218717471,0.0333471002547236,0.116080172753023,0.0490746841743691,0.0654329122324921,0.0490746841743691,0.0300793381110677,0.0052923649954406,0.0390758029074674,0.00981493683487381,0.000194776605318194,0.00456625423672663,493.380213556945,257.048674003702,1871.73233310877,2.96061875615319e-06,266.627192425731,14.8934086511654,149.32675544574,238.925213883948,127.646484106734,159.332991802745,42.6747959612937,40.5466164501633,12.2402229669516,5.04183952653675,28.6592021916984,3.88304431545426,3.06801017382018,10659.9209176237,10652.3436558668,22.9120192381305,5.17113870243359,17.089428654405,1.46759513208281e-07,1.0724001049913,3.02583178994926,16.9481788579537,7.72882972199399,4.25664010267023,18.4954012137188,2.09425213400613,2.65308319550806,0.600685076327008,0.151655195820444,0.151674958476599,0.151733074351652,0.0301123260647953,2.07630320929515,48.6413093496699,2.08766131977193,1.08766131934526,7.91994304884431,1.25273958905912e-08,1.12819132411831,0.0630191327220829,0.631852844490151,1.0109747282887,0.540116162246043,0.674192670906,0.180571734353245,0.171566675121365,0.0517925918618937,0.0213337565448054,0.121266938209362,0.0164304955845143,0.0129818059025423,45.105790544602,45.0737285448605
"4",4,0.684546009824154,0.601051840721262,0.01,5.82909906751402,3.99387179166302,5.59811051760471,9.12131256670293,12.2650055379772,14.4892000218058,13.5644652591146,34.1257863901356,53.5714723811959,16.9546959800003,1.75869695609194,4.37182430500162,10.2666906066672,154.089766627404,0.0467794244225712,0.0199600251566089,0.00938881820633738,0.0493493534279627,0.00401904915711152,0.204322929291658,0.116722486017392,0.0334648830632714,0.033430370016139,0.116306556028917,0.0494544343526185,0.0659392458034914,0.0494544343526185,0.0301333291353875,0.00529490354801395,0.0392150698068833,0.0098908868705237,0.000196719442434626,0.00460671780212883,488.303575789913,255.557933812713,1858.7133505026,9.03919182152791e-16,264.843434381239,14.6399187233889,147.240081506664,233.236996577988,129.781505030438,161.632801060027,41.786016187525,40.7234283739602,12.0875311700835,5.11387852857254,29.1171588930694,3.92957927728967,2.99271488364112,10555.5514079408,10548.1534899525,22.8425602189355,5.10094278787274,17.4511217455612,4.46078271903731e-17,1.06441878171644,2.99127107815461,17.1862283548613,7.805248816511,4.33864373441894,18.7989544325989,2.06650379440341,2.68527215351144,0.597782016736124,0.154098184859867,0.154172547930999,0.154098725670596,0.0296006043498268,2.07648218756014,48.5923664617514,2.09801381792631,1.09801382378254,7.98602854097534,3.88372116951509e-18,1.13790930983876,0.0629009356020006,0.632622288407084,1.00211111679997,0.557610888727706,0.694461123913556,0.179535116480977,0.1749696698487,0.0519345109820799,0.0219719624186366,0.125102916966346,0.0168835782311322,0.0128583067794165,45.3523050161303,45.3205195962954
"5",4,0.674902002123938,0.546410764292057,0.01,5.54203816832335,3.95666707615136,5.54348736854059,9.19396157143741,12.1774952508328,14.4877470716212,13.4503503933087,34.6916321696389,53.2552440996425,16.8725541205858,1.74883090180316,4.34820165072852,10.2170750258041,154.514711954193,0.0488162065242183,0.0198852802132283,0.00953080836812818,0.0492299098294523,0.00401720876417172,0.204961499036275,0.118498601642314,0.0340836655923875,0.033472324396649,0.116423738698344,0.0496672541758193,0.066223005567759,0.0496672541758193,0.030163810712903,0.00529633924800393,0.0392952643244257,0.00993345083516385,0.000197774689726013,0.00462923844522586,482.674024689069,253.207346111356,1840.48469448779,1.25386544176203e-05,262.285014270296,14.4236389976555,145.241325726702,228.838863907247,130.074733379092,161.915380328154,41.0647369693437,40.5745065709281,11.9359194387436,5.12266610289587,29.1871860140003,3.93269003824643,2.93460999971529,10435.487292276,10428.2288455488,23.5623148730972,5.03509902947221,17.5413069276361,6.17276826362113e-07,1.05365365803754,2.95629067051754,17.2108939992901,7.79966731195646,4.35390367147258,18.8507939305679,2.03957272871955,2.68696577455565,0.59282434458618,0.154519130673156,0.154585238824741,0.154536094558929,0.029150804152552,2.06387526136963,48.274757887428,2.10346017631004,1.1034601856553,8.02070561484452,5.46425928947976e-08,1.14302003866041,0.0628572259478537,0.632951700306219,0.997264017534412,0.566856734798021,0.705616082555432,0.178957297155786,0.176820906822894,0.0520159153441401,0.0223242262744843,0.127195747644701,0.0171383924928453,0.0127888283844956,45.4771353271645,45.4455035159391
"6",4,0.664854762827399,0.496737058447324,0.01,5.26452584891781,3.91889445329623,5.48661602537727,9.26850787051164,12.0853031588995,14.485549089344,13.3329674367123,35.2795855993213,52.9218874885404,16.7858294591673,1.73846066575052,4.32388521495264,10.1647134561297,154.943273805368,0.0509980398105524,0.0198124861715873,0.00968219573891599,0.0491093006271462,0.00401534878884235,0.205640603993261,0.120398172026779,0.034748972284826,0.0335172984120612,0.116549026314886,0.0498919895455865,0.0665226527274487,0.0498919895455865,0.0301963377167821,0.00529787029661911,0.039380538192509,0.00997839790911731,0.000198890341717981,0.00465335029037093,476.764362309313,250.713743232364,1821.18759343265,3.62129522687213e-19,259.578230135285,14.1971829674202,143.145403461478,224.275429984214,130.310002868254,162.190041812306,40.3175763715181,40.4230689468927,11.7781257857203,5.13220741694622,29.2629302829568,3.93538123227805,2.87475567908023,10308.5911011822,10301.4773557568,24.314047929303,4.96726257081809,17.6330947569002,1.77839275956113e-20,1.04229713198356,2.91951728042312,17.2344449107976,7.79334070068889,4.36763925221181,18.9030914511948,2.01152409883117,2.68904977773186,0.587634128567762,0.154973868394682,0.155031209138113,0.154977430919809,0.0286854560573573,2.05027920674507,47.9363826446606,2.10910442827525,1.10910442953323,8.0565476820114,1.601984209158e-21,1.1483190396412,0.0628053265570914,0.633244907118243,0.992146938671892,0.576463816982373,0.717494348259509,0.178356407451709,0.178823084232656,0.0521039306107556,0.0227037971912963,0.129452997588047,0.017409291969193,0.0127173094557431,45.6030208203283,45.5715511192258
"7",4,0.654405493297861,0.451579144043022,0.01,4.99659620571972,3.88062789239565,5.42765620543711,9.34351719133799,11.9896296186345,14.4827505670342,13.2123702973096,35.8902018764965,52.5708733961551,16.6943718453043,1.72688147781002,4.29850304589738,10.1099153344991,155.37610474836,0.0533374402395858,0.0197418789209537,0.00984421138446181,0.04898951450376,0.00401346302105815,0.206360507411385,0.122430488016754,0.0354638163363822,0.0335648606221448,0.116681082432201,0.0501302160540359,0.0668402880720479,0.0501302160540359,0.0302310335026717,0.00529950213439186,0.039476963428726,0.0100260432108072,0.000200096826814942,0.0046790693363153,470.575329126115,248.077461599597,1800.82223753409,4.22375609700232e-21,256.723709301642,13.9605284617757,140.952802824994,219.548983245428,130.481918130825,162.458940396851,39.5430661452872,40.2571460611866,11.6124229467365,5.14039780737692,29.3322574184623,3.93600002793712,2.81296400619283,10174.8618412779,10167.897647455,25.0992834954876,4.89751520991679,17.727674772125,2.0691976057444e-22,1.03035111391102,2.88090173710312,17.2569204371933,7.7860448186553,4.37960739577126,18.955885016293,1.98230244930228,2.69079923968822,0.582133271230745,0.155399538331872,0.155446360795672,0.155381329158338,0.0282028986765346,2.03595756772014,47.5762980969994,2.11496556774024,1.11496556861555,8.09366065381808,1.89833553923919e-23,1.1538254812547,0.0627445494410954,0.633501814055889,0.98674645961309,0.586441207132296,0.730159538429224,0.177723348768553,0.180932727461539,0.0521911650914497,0.0231031328975089,0.131831633798879,0.0176900572946965,0.0126426560173452,45.7301543852281,45.6988543377528
"8",4,0.643550177842671,0.410526494584565,0.01,4.73802335328442,3.84190276545595,5.36601496293036,9.4202617453157,11.8890335899218,14.4793648285399,13.0885088634495,36.5242337320419,52.2020705115746,16.5981987511193,1.71499959618458,4.27206734843612,10.052134217003,155.813185782329,0.0558465619283616,0.0196737366188967,0.0100172644729629,0.0488687702610572,0.00401154975559456,0.207131018163246,0.124607858722325,0.0362338632363468,0.0336157429917608,0.116822225161306,0.0503840818104435,0.067178775747258,0.0503840818104435,0.0302679902790259,0.00530123750624825,0.0395772629075939,0.0100768163620887,0.000201360506110419,0.00470657603893454,464.101967610872,245.29490711374,1779.36393811783,9.79017131206187e-16,253.718019320508,13.7136008026941,138.662786757557,214.662460101197,130.584317299016,162.719111534777,38.7424359806083,40.0734738829767,11.4415815014725,5.14778421912885,29.3917001248259,3.93693573553934,2.74928970184194,10034.1698712693,10027.3603420451,25.918499275255,4.82586739651244,17.824359161779,4.78433632665545e-17,1.01780245839512,2.84051209694634,17.2784729423295,7.77805022128452,4.38968884907825,19.0092086857635,1.95200206398284,2.69208691539809,0.576473578411045,0.155813082703115,0.155812383074128,0.155813140655742,0.0277040874516428,2.02048552367671,47.1945339196318,2.12105572197434,1.12105572183438,8.13211390127964,4.47433976362038e-18,1.15955133613864,0.0626743980448162,0.63372172023115,0.981058196401547,0.596801204771926,0.743664812222472,0.177062092502899,0.183145250420795,0.0522907326531347,0.0235265909982681,0.134327018799856,0.0179927271411882,0.0125649039659886,45.8585287416045,45.8274075830379
"9",-1,0.63227554839106,0.373205904167787,0.01,4.48936294522246,3.80261476499972,5.30589823851344,9.49842617346615,11.7833725570576,14.4750945258564,12.9607247289469,37.1819958597995,51.8152550843696,16.4942484139829,1.70073884460336,4.24517383086269,9.99224782180661,156.254841043347,0.0585446247707523,0.0196089760296395,0.0102017225778772,0.0487476159132147,0.00400961170249625,0.207900698096355,0.126936257247634,0.0370639027199084,0.0336702490238252,0.116973069384979,0.0506411738376672,0.0675215651168897,0.0506411738376672,0.0303073173055353,0.00530313597046115,0.0396994937402223,0.0101282347675334,0.000202783739603008,0.00473606951795267,457.335199993877,242.36151680799,1756.77118604162,0.000287434110520892,250.556260394848,13.45596096309,136.272911825832,209.616721284548,130.607037902938,162.97071299293,37.9171994432215,39.8937472802055,11.2649739053386,5.15568061972907,29.4648373189561,3.9382880745189,2.68411961192409,9886.26190354529,9879.61153094404,26.7745176780985,4.75246117359496,17.9220922728049,1.4011727620029e-05,1.00463331381288,2.79750367778372,17.297973391408,7.76921376615662,4.39757149045611,19.0631845186415,1.92017148844168,2.69368825473714,0.570471501817037,0.156254848468128,0.156256038649942,0.156348042761555,0.0271853935737079,2.00477315949566,46.7905270209177,2.1274008346782,1.12740084987575,8.17202893539265,1.33706648131462e-06,1.16552060174897,0.0625935256780108,0.633905079613784,0.975080833115894,0.607548951957509,0.758096098559441,0.176380654157496,0.185575025197025,0.0524016408296722,0.0239828450858204,0.137062529861781,0.018319861093235,0.0124858053848903,45.9882419409901,45.9573061892198
"10",4,0.620590928584446,0.339278094697988,0.01,4.2490035712119,3.76341993945141,5.23623093539909,9.57633157284068,11.6735529305963,14.4697758458499,12.8312324115285,37.8638989709422,51.4080509000379,16.3918239390436,1.68894745111871,4.21767475060225,9.92828184753563,156.701772331406,0.0614365666001586,0.0195460921396042,0.0104005612032398,0.0486284895332954,0.004007693256593,0.208816038736361,0.129446266568785,0.0379584014081984,0.0337281883340122,0.117132744519948,0.0509317442156246,0.0679089922874994,0.0509317442156246,0.0303493566705093,0.005305030118588,0.0398021183154282,0.0101863488431249,0.000204131380566157,0.00476736497882989,450.279056783619,239.278142679957,1733.0586776898,0,247.24108911711,13.1874855563001,133.78568514012,204.41668026217,130.54440123447,163.213254714708,37.06679336459,39.7110053260596,11.0817780085066,5.16342331981904,29.5383880865358,3.93708774996192,2.61745068994342,9731.25552614602,9724.76984019759,27.6635992607434,4.67695262381578,18.0247828461186,0,0.99086644560735,2.75375849475956,17.3180574617355,7.7593304039228,4.40302615078706,19.1176164667671,1.88787643853871,2.69673435441623,0.564414282983594,0.156706575974013,0.156702038453613,0.156704432442207,0.0266622658074417,1.98645462519423,46.3615271633392,2.13401470439063,1.13401471204486,8.21351258968072,0,1.1717536309023,0.0624996603042259,0.634052628086561,0.968795228048589,0.618691159655918,0.773519177197742,0.175671244071776,0.188202999929152,0.0525200469901274,0.0244710943657822,0.139991753049612,0.0186591026704856,0.0124049257370655,46.1194942827589,46.0887565680607
