"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"1",1e-05,20,0.001,0.1,0.622790757465037,0.999000647284423,FALSE,4,19
"2",1e-05,20,0.01,1,0.617183663696418,0.990006470288229,FALSE,4,19
"3",1e-05,20,0.03,3,0.60472345570345,0.970019410909023,FALSE,4,19
"4",1e-05,20,0.05,5,0.592263247460609,0.950032351129005,FALSE,4,19
"5",1e-05,20,0.07,7,0.579799923222782,0.930040293071522,FALSE,4,19
"6",1e-05,20,0.09,9,0.567339714802094,0.910053233006224,FALSE,4,19
"7",1e-05,20,0.11,11,0.554879506288144,0.890066172791327,FALSE,4,19
"8",1e-05,20,0.13,13,0.54241929781378,0.87007911263993,FALSE,4,19
"9",1e-05,20,0.15,15,0.529959089361661,0.850092052524213,FALSE,4,19
"10",1e-05,20,0.17,17,0.517498880834963,0.830104992288868,FALSE,4,19
"11",1e-05,20,0.19,19,0.50503867244172,0.810117932267594,FALSE,4,19
"12",1e-05,20,0.21,21,0.492578463898198,0.790130872005262,FALSE,4,19
"13",1e-05,20,0.23,23,0.480118255668553,0.77014381224641,FALSE,4,19
"14",1e-05,20,0.25,25,0.467658047139029,0.750156752006531,FALSE,4,19
"15",1e-05,20,0.27,27,0.455197838682672,0.730169691884017,FALSE,4,19
"16",1e-05,20,0.29,29,0.442737630213855,0.710182631741516,FALSE,4,19
"17",1e-05,20,0.31,31,0.430277421742857,0.690195571595518,FALSE,4,19
"18",1e-05,20,0.33,33,0.41781721325168,0.670208511417151,FALSE,4,19
"19",1e-05,20,0.35,35,0.40535700483956,0.650221451365596,FALSE,4,19
"20",1e-05,20,0.37,37,0.392896796381236,0.630234391239928,FALSE,4,19
"21",1e-05,20,0.39,39,0.380436587931349,0.610247331127792,FALSE,4,19
"22",1e-05,20,0.41,41,0.367976379457953,0.590260270977948,FALSE,4,19
"23",1e-05,20,0.43,43,0.355516171382069,0.570273211465739,FALSE,4,19
"24",1e-05,20,0.45,45,0.343055964707328,0.550286154201065,FALSE,4,19
"25",1e-05,20,0.47,47,0.330595756305118,0.530299094165406,FALSE,4,19
"26",1e-05,20,0.49,49,0.318135547791948,0.51031203395176,FALSE,4,19
"27",0.005,20,0.001,0.1,0.622982442375964,0.999308121373448,FALSE,4,19
"28",0.005,20,0.01,1,0.619100512818473,0.993081230421907,FALSE,4,19
"29",0.005,20,0.03,3,0.61047400344554,0.979243696184828,FALSE,4,19
"30",0.005,20,0.05,5,0.601845336670073,0.96540270132073,FALSE,4,19
"31",0.005,20,0.07,7,0.593218826811872,0.951565166305247,FALSE,4,19
"32",0.005,20,0.09,9,0.584592316875681,0.937727631164663,FALSE,4,19
"33",0.005,20,0.11,11,0.575965807126032,0.923890096323305,FALSE,4,19
"34",0.005,20,0.13,13,0.567339297277925,0.910052561324014,FALSE,4,19
"35",0.005,20,0.15,15,0.558712787436438,0.896215026335341,FALSE,4,19
"36",0.005,20,0.17,17,0.550086277591702,0.882377491341458,FALSE,4,19
"37",0.005,20,0.19,19,0.541459767771595,0.86853995638708,FALSE,4,19
"38",0.005,20,0.21,21,0.532833257987446,0.854702421490381,FALSE,4,19
"39",0.005,20,0.23,23,0.524206748006807,0.8408648862785,FALSE,4,19
"40",0.005,20,0.25,25,0.515580238168968,0.82702735129568,FALSE,4,19
"41",0.005,20,0.27,27,0.506953728405122,0.813189816431548,FALSE,4,19
"42",0.005,20,0.29,29,0.498327218496946,0.799352281335902,FALSE,4,19
"43",0.005,20,0.31,31,0.489700708710237,0.785514746435098,FALSE,4,19
"44",0.005,20,0.33,33,0.481074198853787,0.771677211422424,FALSE,4,19
"45",0.005,20,0.35,35,0.472447688906479,0.757839676264007,FALSE,4,19
