"","x_C2","kcat","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","shape"
"1",1e-05,30,0.001,4.39607689197807,0.659386268085538,0.87544133847189,TRUE,-1,21
"2",1e-05,30,0.02,87.9215378395613,0.640297731925245,0.850098236174424,TRUE,-1,21
"3",1e-05,30,0.04,175.843075679123,0.740366851374095,0.98295608916605,TRUE,-1,21
"4",1e-05,30,0.06,263.764613518684,0.683331723193869,0.907232781947381,TRUE,-1,21
"5",1e-05,30,0.08,351.686151358245,0.752389101658927,0.998917560294885,TRUE,-1,21
"6",1e-05,30,0.1,439.607689197807,0.734595285409387,0.975293406945062,TRUE,-1,21
"7",1e-05,30,0.12,527.529227037368,0.343901338848524,0.456584346619683,TRUE,-1,21
"8",1e-05,30,0.14,615.450764876929,0.741242805703183,0.984119059442218,TRUE,-1,21
"9",1e-05,30,0.16,703.372302716491,0.680062652787475,0.902892565126606,TRUE,-1,21
"10",1e-05,30,0.18,791.293840556052,0.745591295545685,0.98989237919773,TRUE,-1,21
"11",1e-05,30,0.2,879.215378395613,0.300811790152648,0.399376039425191,TRUE,-1,21
"12",1e-05,30,0.22,967.136916235174,0.707295875980112,0.93904904959797,TRUE,-1,21
"13",1e-05,30,0.24,1055.05845407474,0.576258604853311,0.765075993777419,TRUE,-1,21
"14",1e-05,30,0.26,1142.9799919143,0.735743270453274,0.976817541753455,TRUE,-1,21
"15",1e-05,30,0.28,1230.90152975386,0.141315324903136,0.18761882551631,TRUE,-1,21
"16",1e-05,30,0.3,1318.82306759342,0.625289743912334,0.83017271793162,TRUE,-1,21
"17",0.005,30,0.001,29.485596999214,0.754057747989073,0.998692060204916,TRUE,-1,21
"18",0.005,30,0.02,589.711939984281,0.738692741893488,0.978342279788784,TRUE,-1,21
"19",0.005,30,0.04,1179.42387996856,0.725431942458704,0.960779360844172,TRUE,-1,21
"20",0.005,30,0.06,1769.13581995284,0.706438146775403,0.935623524977949,TRUE,-1,21
"21",0.005,30,0.08,2358.84775993712,0.675708637330935,0.894924629995403,TRUE,-1,21
"22",0.005,30,0.1,2948.5596999214,0.513579523523184,0.68019696607356,TRUE,-1,21
"23",0.005,30,0.12,3538.27163990568,0.740610474249642,0.980882170245181,TRUE,-1,21
"24",0.005,30,0.14,4127.98357988996,0.73614220181113,0.974964283691962,TRUE,-1,21
"25",0.005,30,0.16,4717.69551987425,0.621949895783288,0.823725270936471,TRUE,-1,21
"26",0.005,30,0.18,5307.40745985853,0.51336284780072,0.679909995580596,TRUE,-1,21
"27",0.005,30,0.2,5897.11939984281,0.606003007127985,0.802604831384602,TRUE,-1,21
"28",0.005,30,0.22,6486.83133982709,0.593174593981181,0.785614575149045,TRUE,-1,21
"29",0.005,30,0.24,7076.54327981137,0.378909592746152,0.5018368988585,TRUE,-1,21
"30",0.005,30,0.26,7666.25521979565,0.52657076653776,0.697402878068297,TRUE,-1,21
"31",0.005,30,0.28,8255.96715977993,0.6797676558414,0.900300490888599,TRUE,-1,21
"32",0.005,30,0.3,8845.67909976421,0.422594868797874,0.559694720036071,TRUE,-1,21
"33",0.2,30,0.001,0.0149663115711294,0.754391877467492,0.923343769909792,TRUE,4,19
"34",0.2,30,0.02,0.299326231422589,0.768857802884198,0.941049451145829,TRUE,4,19
"35",0.2,30,0.04,0.598652462845178,0.790320402083843,0.967318765343101,TRUE,4,19
"36",0.2,30,0.06,0.897978694267767,0.81318067542218,0.995298773606509,TRUE,4,19
"37",0.2,30,0.08,1.19730492569036,0.811162037710135,0.99282804637469,TRUE,4,19
"38",0.2,30,0.1,1.49663115711294,0.795634232052075,0.973822668608865,TRUE,4,19
"39",0.2,30,0.12,1.79595738853553,0.778690809971924,0.953084636180442,TRUE,4,19
"40",0.2,30,0.14,2.09528361995812,0.761361310895031,0.931874061827465,TRUE,4,19
"41",0.2,30,0.16,2.39460985138071,0.743873121528945,0.910469257268346,TRUE,4,19
"42",0.2,30,0.18,2.6939360828033,0.726304511022889,0.888966020633303,TRUE,4,19
"43",0.2,30,0.2,2.99326231422589,0.708689574320778,0.867406082692493,TRUE,4,19
"44",0.2,30,0.22,3.29258854564848,0.691045527596059,0.845810515314492,TRUE,4,19
"45",0.2,30,0.24,3.59191477707107,0.673381993566269,0.824191096298811,TRUE,4,19
"46",0.2,30,0.26,3.89124100849366,0.655704782255966,0.802554936869919,TRUE,4,19
"47",0.2,30,0.28,4.19056723991625,0.638017599628208,0.780906572969951,TRUE,4,19
"48",0.2,30,0.3,4.48989347133883,0.620322924821056,0.759249038959097,TRUE,4,19
"49",1e-05,100,0.001,0.1,0.754366119161117,75195044324.7225,FALSE,-1,21
"50",1e-05,100,0.02,2,0.736686273763331,73432721329.8627,FALSE,-1,21
"51",1e-05,100,0.04,4,0.733496661071378,73114781457.3552,FALSE,-1,21
"52",1e-05,100,0.06,6,0.736686273763331,73432721329.8627,FALSE,-1,21
"53",1e-05,100,0.08,8,0.725865464269446,72354105484.248,FALSE,-1,21
"54",1e-05,100,0.1,10,0.730507609441552,72816833466.2079,FALSE,-1,21
"55",1e-05,100,0.12,12,0.675348642918313,67318600145.187,FALSE,-1,21
"56",1e-05,100,0.14,14,0.607260201731373,60531559710.833,FALSE,-1,21
"57",1e-05,100,0.16,16,0.731032341757013,72869138664.8607,FALSE,-1,21
