Gene-Ontology-Terms	Gene Accession
structural constituent of ribosome	b4202 // b0169 // b2606 // b3407 // b3165 // b3301 // b3299 // b3342 // b1089 // b3986 // b3230 // b3312 // b3305 // b4200 // b3309 // b3320 // b3186 // b3316 // b3314 // b3983 // b2609 // b3294 // b3298 // b3636 // b3231 // b3321 // b3302 // b4203 // b3341 // b2185 // b3319 // b3185 // b0023 // b3296 // b3315 // b3984 // b4506 // b3311 // b3304 // b3307 // b3703 // b3310 // b3297 // b3936 // b3985 // b3306 // b3637 // b3308 // b3313 // b3065 // b3303 // b3318 // b3317 // b0296 // b1717 // b0911 // b1716
generation of precursor metabolites and energy	b4090 // b0720 // b0727 // b1612 // b0116 // b1225 // b4073 // b2277 // b0733 // b2210 // b4070 // b1872 // b1227 // b2464 // b0894 // b4085 // b0118 // b2976 // b3428 // b1676 // b1628 // b4139 // b0896 // b2279 // b2284 // b1723 // b4399 // b0972 // b1779 // b2243 // b0993 // b1465 // b0723 // b1468 // b3236 // b3365 // b2925 //  // b2276 // b3833 // b3612 // b1854 // b1276 // b2484 // b3417 // b4123 // b0722 // b0724 // b2485 // b2483 // b1631 // b1467 // b3892 // b4071 // b3416 // b2720 // b1476 // b3426 // b1670 // b0431 // b2465 // b0734 // b4079 // b0115 // b1334 // b1873 // b3429 // b1627 // b1418 // b0895 // b4515 // b1630 // b2721 // b2288 // b0728 // b4152 // b2724 // b4138 // b2719 // b0973 // b2482 // b4014 // b0771 // b4154 // b1629 // b2486 // b2281 // b1602 // b3431 // b1694 // b1587 // b2388 // b2278 // b4072 // b2914 // b4015 // b1474 // b2619 // b1590 // b0979 // b3518 // b1378 // b0996 // b2241 // b2723 // b0320 // b2242 // b0755 // b2203 // b0997 // b4153 // b3115 // b3551 // b0334 // b1974 // b2286 // b4395 // b2097 // b1475 // b1588 // b1632 // b2283 // b4380 // b3916 // b4151 // b2133 // b2996 // b2997 // b3227 // b3893 // b2282 // b0721 // b2722 // b2994 // b1057 // b0008 // b1109 // b2280 // b2285 // b0432 // b0974 // b4025 // b3956 // b2029 // b0156 // b0994 // b2202 // b0767 // b1852 // b0978 // b0729 // b3894 // b0904 // b1136 // b2926 // b4016 // b2492 // b3386 // b0621 // b3605 // b0726 // b1603 // b2935 // b3432 // b0430 // b3919 // b2224 // b3945 // b2206 // b4122 // b0429 // b3430 // b0333 // b0903 // b4301 // b1241 // b2525 // b2487 // b1611 // b2779 // b0518 // b2488 // b2995 // b1224 // b1380 // b2287 // b1589
DNA-templated transcription	b2550 // b3261 // b3292 // b2231 // b1799 // b3060 // b2364 // b3699 // b0254 // b0226 // b2079 // b4004 // b1891 // b2714 // b1892 // b3188 // b4260 // b1564 // b2479 // b2554 // b0629 // b0208 // b3680 // b3684 // b3711 // b2577 // b3872 // b3897 // b3954 // b4046 // b2157 // b2289 // b2437 // b3501 // b3515 // b3516 // b3520 // b3521 // b3585 // b0796 // b4324 // b0034 // b0272 // b0300 // b0305 // b0316 // b0447 // b0487 // b0900 // b1201 // b1284 // b1320 // b1328 // b1339 // b1422 // b1499 // b1526 // b1540 // b1618 // b1696 // b1969 // b2015 // b2409 // b2735 // b2855 // b2869 // b2921 // b3010 // b3105 // b3226 // b3375 // b4191 // b4299 // b4300 // b4327 // b4340 // b4043 // b3906 // b1275 // b3357 // b2808 // b1594 // b1951 // b2731 // b2837 // b2217 // b3884 // b0483 // b2427 // b1853 // b2248 // b0378 // b2981 // b2561 // b1439 // b0375 // b4000 // b0435 // b4124 // b1512 // b1712 // b0912 // b2684 // b1399 // b3025 // b2163 // b1570 // b1508 // b0440 // b1356 // b1299 // b0846 // b0610 // b3181 // b3842 // b3988 // b3295 // b3987 // b3649 // b3067 // b1922 // b2741 // b2573 // b3243 // b2491 // b3461 // b4293 // b3202 // b3406 // b0416 // b3319 // b3296 // b3169 // b3783 // b3982
RNA processing	b3780 // b2779 // b3164 // b3421 // b2581 // b4475 // b2756 // b3342 // b2608 // b3167 // b1066 // b0659 // b1435 // b1135 // b2594 // b1086 // b1269 // b2183 // b3179 // b2806 // b3146 // b4180 // b3499 // b3497 // b1835 // b3084 // b4371 // b3465 // b2946 // b0807 // b0636 // b0967 // b1822 // b2785 // b0859 // b0051 // b3289 // b0082 // b3740 // b0948 // b1266 // b4179 // b2949 // b3180 // b4129 // b4172 // b3247 // b2898 // b2830 // b2567 // b1084 // b4331 // b0143 // b2268 // b1804 // b1652 // b3643 // b3056 // b3704 // b3123 // b4166 // b2794 // b0835 // b2583 // b4171 // b1344 // b0423 // b2140 // b4049 // b3260 // b2562 // b0144 // b0188 // b2559 // b1055 // b2081 // b1871 // b1870 // b2530 // b3345 // b3344 // b3470 //  // b0969 // b1133 // b3343 // b0405 // b3591 // b3288 // b0503 // b1764 // b2474 // b3282 // b3064 // b4168 // b1807 // b2745 // b4022 // b3166 // b0058 // b2318 // b2791 // b0406 // b2632 // b0253 // b0921 // b0195 // b2517 // b2575 // b3706 // b3741 // b3965 // b2324 // b0661 // b4403 // b2532 // b3606 // b3651 // b2960 // b2607 // b2811 // b2812
translation	b0225 // b1718 // b3231 // b0023 // b3303 //  // b3759 // b0204 // b2890 // b1807 // b3168 // b4155 // b3306 // b3299 // b3703 // b0911 // b4009 // b3384 // b0884 // b3310 // b2331 // b1212 // b4391 // b2171 // b3312 // b0642 // b4203 // b3288 // b3321 // b3758 // b3984 // b4147 // b1876 // b3986 // b3065 // b4007 // b2621 // b3170 // b3407 // b4202 // b2591 // b3980 // b3636 // b3186 // b0296 // b3559 // b3341 // b1480 // b1866 // b3985 // b1719 // b3307 // b3983 // b3970 // b4258 // b2609 // b3297 // b2589 // b2514 // b4129 // b0144 // b3274 // b0194 // b3560 // b3304 // b0893 // b3339 // b1713 // b3298 // b3287 // b3316 // b2400 // b0172 // b1204 // b3591 // b2697 // b2114 // b0191 // b3319 // b1637 // b3317 // b3230 // b1716 // b3275 // b3302 // b3308 // b3185 // b3296 // b3301 // b4168 // b3311 // b3165 // b3340 // b3320 // b4010 // b3871 // b3278 // b3064 // b2569 // b0205 // b3637 // b1717 // b3971 // b0930 // b2606 // b0026 // b3756 // b1211 // b3590 // b4173 // b0659 // b0481 // b1089 // b0201 // b0526 // b0169 // b2620 // b2185 // b1282 // b2588 // b4550 // b0170 // b4375 // b3936 // b2891 // b3313 // b3315 // b3272 // b3305 // b3318 // b3309 // b3968 // b3342 // b3294 // b0680 // b4200 // b2184 // b0528 // b3314 // b1714 // b0852 // b4506
lipid biosynthetic process	b4042 // b2255 // b3255 // b1215 // b0175 // b3209 // b2296 // b3788 // b2515 // b3475 // b1093 // b3620 // b3173 // b4463 // b3619 // b2045 // b0173 // b1236 // b2472 // b2048 // b0029 // b3630 // b2050 // b1805 // b2033 // b0200 // b0180 // b3918 // b2056 // b1046 // b0090 // b2037 // b3784 // b1095 // b2044 // b2086 // b2258 //  // b0630 // b0096 // b1855 // b1695 // b3623 // b3632 // b2585 // b2563 // b0622 // b1092 // b3624 // b1912 // b2035 // b3621 // b1094 // b2560 // b2316 // b2039 // b3963 // b3622 // b2042 // b3629 // b2174 // b0185 // b2036 // b2059 // b3052 // b3625 // b3888 // b3631 // b2058 // b0166 // b1090 // b4114 // b2027 // b3059 // b3433 // b2055 // b3627 // b3628 // b1550 // b0174 // b2257 // b1253 // b2028 // b2049 // b2533 // b2254 // b0918 // b2836 // b2323 // b0524 // b2747 // b0954 // b3546 // b1408 // b3197 // b1249 // b2041 // b3789 // b0789 // b0628 // b3187 // b4544 // b0404 // b4160 // b1288 // b2051 // b1278 // b2032 // b3626 // b3955 // b3730 // b0915 // b0179 // b3633 // b0182 // b2057 // b2253 // b4041 // b0031 // b1758 // b0421 // b1661 // b0181 // b3018 // b1091 // b2043 // b0815 // b2038 // b0419 // b2040 // b2889 // b1208 // b2478 // b2034 // b0418 // b2378 // b2046 // b0164 // b3608 // b3256 // b3198 // b2256 // b0222 // b0420 // b4214 // b2708 // b2047 // b2844 // b2746 // b1054 // b2054
amino acid biosynthetic process	b3390 // b2601 // b2329 // b1692 // b0388 // b0754 // b1693 // b0908 // b2319 // b3773 // b1704 // b3281 // b3389 // b3447 // b2018 // b2022 // b2021 // b2020 // b2026 // b2023 // b2025 // b2019 // b0928 // b2600 // b2599 // b2872 // b0033 // b0032 // b3172 // b3237 // b3957 // b2818 // b3958 // b1014 // b0386 // b0242 // b0243 // b1297 // b3870 // b0485 // b1524 // b1761 // b3212 // b3213 // b0001 // b0004 // b0003 // b3475 // b3712 // b3809 // b2838 // b2839 // b3938 // b0261 // b3941 // b3828 // b3829 // b1622 // b0529 // b4019 // b3008 // b0260 // b2687 // b0159 // b4013 // b3744 // b0674 // b0352 // b4054 // b0071 // b0072 // b0075 // b0073 // b0074 // b3672 // b3766 // b0870 // b4024 // b3940 // b0002 // b2551 // b3616 // b0907 // b4388 // b2913 // b1987 // b1275 // b2764 // b2763 // b2413 // b3939 // b2414 // b2058 // b3607 // b0849 // b2421 // b3591 // b1764 // b0893 // b3376 // b0131 // b1190 // b4053 // b3572 // b2290 // b2379 // b3117 // b2366 // b0507 // b3770 // b4243 // b3769 // b0078 // b0077 // b3771 // b3774 // b3670 // b3671 // b3772 // b2024 // b1265 // b1260 // b0800 // b1261 // b1262 // b1263 // b1264 // b4254 // b3960 // b2870 // b3959 // b0273 // b2662 // b3359 // b1748 // b2472 // b3433 // b0166 // b2478 // b0031 //  // b3360 // b1812 // b1096
tRNA aminoacylation	b4258 // b0194 // b2514 // b0526 // b2114 // b0642 // b1719 // b2697 // b0144 // b2400 //  // b3560 // b3384 // b1637 // b0026 // b1866 // b1714 // b1713 // b2890 // b4155 // b4129 // b0893 // b0930 // b0680 // b3559 // b1876
nucleobase biosynthetic process	b4005 // b2312 // b2499 // b1623 // b0125 // b0469 // b0033 // b2780 // b4246 // b4374 // b4244 // b0032 // b4196 // b4245 // b3581 // b1062 // b3642 // b0945 // b1281 // b2498
DNA biosynthetic process	b1099 // b0470 // b4372 // b0215 // b3863 // b0640 // b1238 // b1842 // b0060 // b0184 // b4259 // b0892 // b0472 // b3700 // b0876 // b2699 // b1183 // b0050 // b1184 // b0231 // b3701
