"","dataset","translation","ribosomes"
"C2","Mori_titrated_glucose",0.289511912818886,0.155659842787543
"C3","Mori_titrated_glucose",0.275978892562873,0.145783824955863
"C4","Mori_titrated_glucose",0.266414528666494,0.138192477397836
"C5","Mori_titrated_glucose",0.252028681338705,0.125820502562775
"C6","Mori_titrated_glucose",0.233240094269117,0.110193908037919
"C7","Mori_titrated_glucose",0.216086700217171,0.0948833316303378
"C8","Mori_titrated_glucose",0.268160006131197,0.139405822677074
"D6","Mori_titrated_glucose",0.251433621906805,0.122726894629835
"D7","Mori_titrated_glucose",0.214594421104042,0.0935159084183217
"D8","Mori_titrated_glucose",0.236995433558555,0.112328091018797
"F4","Mori_titrated_glucose",0.288060028046996,0.156491804104096
"F5","Mori_titrated_glucose",0.269778385435312,0.14171103012824
"F6","Mori_titrated_glucose",0.250588491178397,0.126214263687816
"F7","Mori_titrated_glucose",0.242108350773353,0.115571556648565
"F8","Mori_titrated_glucose",0.217007068729233,0.0954089170176075
"Lib.06","Mori_c_sources",0.217673853720483,0.107984320949976
"Lib.24","Mori_c_sources",0.286008730673453,0.158176377090104
"Lib.25","Mori_c_sources",0.253108902393954,0.132742846045325
"Lib.26","Mori_c_sources",0.30317872056902,0.171707789419498
"Lib.27","Mori_c_sources",0.23248600853842,0.109910668868517
"Lib.28","Mori_c_sources",0.288127686680539,0.163115703893126
"Lib.29","Mori_c_sources",0.279545333645036,0.15599373588078
"Lib.30","Mori_c_sources",0.282783830624263,0.153095676767944
"Glucose","Schmidt",0.310149315401216,0.119500501950215
"Acetate","Schmidt",0.210457432822078,0.0648106792874339
"Fumarate","Schmidt",0.256100883941091,0.0878136887594873
"Glucosamine","Schmidt",0.257348906603035,0.0970605615463022
"Glycerol","Schmidt",0.272581799528538,0.102800471249023
"Pyruvate","Schmidt",0.248026966462124,0.0807309724466471
"Chemostat 0.5","Schmidt",0.250475688353732,0.0940815851532568
"Chemostat 0.35","Schmidt",0.215314175015877,0.0701827264575284
"Chemostat 0.20","Schmidt",0.199047691594133,0.0631360598106768
"Chemostat 0.12","Schmidt",0.19048471274344,0.0585245883791121
"Xylose","Schmidt",0.296303238788914,0.114117627384481
"Mannose","Schmidt",0.258240071472139,0.0903472922712355
"Galactose ","Schmidt",0.216001899337849,0.0726511578233976
"Succinate","Schmidt",0.26875217193975,0.0948709019416143
"Fructose","Schmidt",0.300956216553382,0.122404582277049
